Entry	Entry name	PubMed ID
Q96IY4	CBPB2_HUMAN	1939207; 14702039; 15057823; 15489334; 10574983; 16335952; 16445295; 19159218; 22171320; 18559974; 20088943
P22362	CCL1_HUMAN	2809212; 2212659; 14702039; 15489334; 15340161; 1557400; 10821677
Q8NCR9	CLRN3_HUMAN	17974005; 15164054; 15489334; 23033978
Q8IUK8	CBLN2_HUMAN	14702039; 12975309; 15489334
Q9BX69	CARD6_HUMAN	15489334; 22814378; 23186163
Q8N7E2	CBLL2_HUMAN	20657603; 14702039; 15772651; 15489334; 22252131
Q8NEA5	CS018_HUMAN	15489334
P31327	CPSM_HUMAN	1840546; 9711878; 12853138; 12955727; 12655559; 14702039; 15815621; 15489334; 17974005; 19754428; 21269460; 22002106; 23186163; 24703693; 24275569; 11388595; 11474210; 11407344; 15617192; 15164414; 16737834; 17310273; 20578160; 20520828; 21120950; 21767969; 22173106; 23649895; 24237036; 24813853; 26440671; 27535533
Q3B7T3	BEAN1_HUMAN	14702039; 15616553; 15489334; 19878914
Q99933	BAG1_HUMAN	8524784; 8812483; 15986447; 15164053; 15489334; 9396724; 9305631; 9679980; 9582267; 9873016; 10477749; 12724406; 20068231; 22814378; 24318877; 27474739; 11222862; 
Q1T7F1	CCB42_HUMAN	15057824; 22586462
Q9BSF8	BTBDA_HUMAN	15556295; 14702039; 17974005; 16554811; 15489334; 21267538; 21406692
Q8N1N5	CRPAK_HUMAN	14702039; 16278681
P0CG41	CTGE8_HUMAN	12853948
Q9NYF8	BCLF1_HUMAN	10330179; 8724849; 14574404; 15489334; 15009215; 17081983; 17487921; 17924679; 18794151; 19367720; 18669648; 18318008; 19413330; 19690332; 19608861; 20068231; 21269460; 21406692; 24100041; 23186163; 24275569; 24129315; 25218447; 25114211; 25772364; 25755297; 28112733
O60397	COX7S_HUMAN	15815621
A8MTZ7	CL071_HUMAN	16541075
Q04771	ACVR1_HUMAN	8389764; 8397373; 15489334; 8555189; 19369195; 22484487; 16642017; 17344846; 19085907; 19330033
Q14032	BAAT_HUMAN	8034703; 15164053; 15489334; 2037576; 12239217; 12810727; 24275569; 12704386
Q6V702	CF299_HUMAN	14702039; 15815621; 15489334
Q96NF6	CH049_HUMAN	14702039
Q8TAM1	BBS10_HUMAN	15489334; 14702039; 16823392; 19190184; 20080638; 16582908; 20120035; 21344540; 23219996; 28808579
Q15059	BRD3_HUMAN	7584044; 16008511; 15164053; 15489334; 9373153; 18406326; 17934517; 18669648; 19413330; 19690332; 20068231; 21406692; 23186163; 24275569; 28112733; 22464331; 27105114; 17344846
P32320	CDD_HUMAN	7923172; 9878810; 9596658; 16710414; 15489334; 8422236; 15689149
P28223	5HT2A_HUMAN	1722404; 1323014; 8035173; 14702039; 15057823; 15489334; 1330647; 11150294; 14988405; 18476671; 18703043; 18297054; 19057895; 21645528; 20945968; 22300836; 24637012; 24089568; 28129538; 8655141; 10581480; 10391209
Q96D05	F241B_HUMAN	15164054; 15489334; 18691976; 23186163; 31270356
Q8TE02	ELP5_HUMAN	16850183; 14702039; 16625196; 15489334; 11042152; 17974005; 22854966; 23186163; 29332244
Q99956	DUS9_HUMAN	9030581; 15772651; 18669648; 21269460; 23186163; 18058037
Q03001	DYST_HUMAN	1717441; 8345227; 11751855; 14702039; 14574404; 8575775; 10428034; 1712022; 15489334; 9872452; 12168954; 2461961; 2090522; 8010969; 8752219; 10637308; 8621649; 11375975; 14581450; 12482924; 12802069; 18669648; 19403692; 19932097; 20164846; 21269460; 21406692; 22522446; 22113475; 22419821; 23186163; 24275569; 19632184
Q8NFI4	F10A5_HUMAN	12079276; 16554811
P21860	ERBB3_HUMAN	2687875; 2164210; 7685162; 14702039; 16541075; 15489334; 9516479; 11325528; 12939402; 15358134; 16832058; 17701904; 19369195; 20682778; 23186163; 24275569; 12154198; 20007378; 20351256; 21575594; 17344846; 27416908
O60884	DNJA2_HUMAN	9383053; 14702039; 15489334; 10508479; 10816573; 15308774; 17081983; 19690332; 20068231; 21269460; 24318877; 24275569; 25944712; 28112733
Q9UDY4	DNJB4_HUMAN	9546042; 14702039; 15489334; 15661747; 16542645; 18669648; 18837411; 20068231; 21269460; 21255413; 24318877
P55084	ECHB_HUMAN	8135828; 9259266; 14702039; 15815621; 15489334; 12665801; 7958339; 15242332; 1550553; 8163672; 19608861; 21269460; 21527675; 24275569; 25944712; 29915090; 30850536; 8651282; 12754706; 16959974
Q9BPY3	F118B_HUMAN	14702039; 15489334; 20068231; 21269460; 21406692; 23186163; 24569877
Q99615	DNJC7_HUMAN	14702039; 17974005; 16625196; 15489334; 8836031; 10567422; 11573955; 12853476; 14573755; 15592455; 18620420; 21269460; 22814378; 23186163
Q9NQR9	G6PC2_HUMAN	11297555; 17974005; 15815621; 15489334; 15044018; 14722102; 16520917; 18451265
Q6ZRR7	LRRC9_HUMAN	14702039; 12508121
Q9H1L0	MI1HG_HUMAN	14702039; 11780052; 15489334
O95819	M4K4_HUMAN	9890973; 12612079; 15815621; 9734811; 17974005; 12387898; 14966141; 18220336; 18691976; 18669648; 19369195; 19690332; 20068231; 21269460; 21690388; 21406692; 22814378; 23186163; 24275569; 17344846
Q8TC71	MIEAP_HUMAN	21264221; 14702039; 15815621; 15489334; 21300779; 21264228; 22292033
Q96DU7	IP3KC_HUMAN	11085927; 15489334; 12747803; 23186163; 24275569; 18157129
Q13201	MMRN1_HUMAN	7629143; 14702039; 15815621; 15489334; 9798985; 12665801; 8514871; 10613677; 16335952; 16363244; 16263699; 19132231; 8652809; 19159218; 19139490
Q7L590	MCM10_HUMAN	11095689; 11230166; 14702039; 15164054; 15489334; 11602595; 15136575; 17761813; 17699597; 17525332; 18669648; 19696745; 19608746; 19690332; 24726359; 25218447; 28112733
Q7RTY3	PRS45_HUMAN	16641997; 15489334; 12838346
Q9HB89	NMUR1_HUMAN	10899166; 15815621; 15489334; 9782091
Q9BPW8	NIPS1_HUMAN	9661659; 14702039; 15489334; 19608861; 21269460; 24275569; 25944712
Q5VXU1	NKAI2_HUMAN	11979551; 14574404; 15489334
P58173	OR2B6_HUMAN	14574404; 15489334; 9500546; 14983052
Q8NG41	NPB_HUMAN	12118011; 12401809; 15164054; 15489334
Q5SY16	NOL9_HUMAN	14702039; 16710414; 15489334; 12429849; 19413330; 19690332; 21063389; 20068231; 21406692; 22223895; 23186163; 28112733
P04070	PROC_HUMAN	2991859; 2991887; 3511471; 14702039; 15815621; 15489334; 8560401; 8477066; 6589623; 7878626; 1694179; 1544894; 16335952; 22171320; 24275569; 26091039; 8003977; 9003757; 8446940; 2437584; 2602169; 1868249; 1347706; 1611081; 1511988; 1511989; 1301959; 1593215; 8324221; 8499565; 8499568; 8292730; 8398832; 7919373; 7841323; 7841324; 7865674; 7974343; 7605880; 7792728; 8829639; 9798967; 22531345; 22545135; 25651845; 25748729; 25618265
Q6P474	PDXD2_HUMAN	14702039; 15616553
Q9H606	PRORY_HUMAN	14702039; 12815422; 
Q92621	NU205_HUMAN	9039502; 12853948; 15489334; 9348540; 12802065; 15229283; 15703211; 18691976; 19413330; 19690332; 20068231; 21269460; 22223895; 23186163; 24275569; 26878725
