	OddRatio	p-value	depth	name	score
14748	44.66032608695652	0.025873727237812897	2	Sotos syndrome	3.6545272174832126
0050954	29.77173913043478	0.036757608908619656	1	spinocerebellar ataxia type 1	3.303410029621669
9883	66.99320652173913	0.018549941809237774	1	Becker muscular dystrophy	3.987288626901927
4467	38.27950310559006	0.02951521040545554	1	clear cell renal cell carcinoma	3.5228495415513654
305	3.7227316739761918	0.02525412393448033	2	carcinoma	3.6787658124588685
0050454	53.59347826086957	0.022218654519397273	1	periventricular nodular heterotopia	3.806823049286432
11723	20.716687683900798	0.004927029681862979	1	Duchenne muscular dystrophy	5.313018971110676
1059	2.8460670001751893	0.022416007002341188	1	intellectual disability	3.797979977006147
0060041	8.823792887216698	0.023375560426181517	1	autism spectrum disorder	3.756064228643177
0050886	134.71857923497268	0.00020637825514456014	1	Troyer syndrome	8.485799882888664
0050477	53.59347826086957	0.022218654519397273	1	Liddle syndrome	3.806823049286432
1240	2.0174535690311033	0.004623430430091438	1	leukemia	5.376618332082296
8566	6.642380085003036	0.03880954811945261	1	herpes simplex	3.24908897707409
0060179	53.59347826086957	0.022218654519397273	1	Renpenning syndrome	3.806823049286432
14731	44.66032608695652	0.025873727237812897	2	Weaver syndrome	3.6545272174832126
