	OddRatio	p-value	depth	name	score
1059	2.8833333333333333	0.3458535166351007	1	intellectual disability	-1.0
0050460	5.866666666666666	0.21377996514027903	1	Wolf-Hirschhorn syndrome	-1.0
9884	2.8833333333333333	0.3458535166351007	1	muscular dystrophy	-1.0
0080322	4.375	0.2602768489223294	2	polycystic kidney disease	-1.0
1485	5.866666666666666	0.21377996514027903	2	cystic fibrosis	-1.0
12858	2.4571428571428573	0.385173797055971	1	Huntington's disease	-1.0
540	17.8	0.11272626009469411	1	strabismus	-1.0
162	0.7248677248677249	1.0	1	cancer	-1.0
332	17.8	0.11272626009469411	2	amyotrophic lateral sclerosis	-1.0
219	8.85	0.16464121296150455	1	colon cancer	-1.0
