	OddRatio	p-value	depth	name	score
10283	3.6666666666666665	0.30639974232886646	1	prostate cancer	-1.0
7319	11.125	0.1663526949241535	2	axonal neuropathy	-1.0
162	0.43492063492063493	0.3700626962218001	1	cancer	-1.0
8778	11.125	0.1663526949241535	1	Crohn's disease	-1.0
0050700	11.125	0.1663526949241535	1	cardiomyopathy	-1.0
9970	2.734375	0.36781226514351867	1	obesity	-1.0
0080307	11.125	0.1663526949241535	1	myofibrillar myopathy	-1.0
2841	11.125	0.1663526949241535	2	asthma	-1.0
1909	11.125	0.1663526949241535	2	melanoma	-1.0
1240	0.496875	1.0	1	leukemia	-1.0
9884	1.8020833333333333	0.4756099422802267	1	muscular dystrophy	-1.0
0050886	5.53125	0.23940426289473163	1	Troyer syndrome	-1.0
870	11.125	0.1663526949241535	1	neuropathy	-1.0
8566	5.53125	0.23940426289473163	1	herpes simplex	-1.0
8469	11.125	0.1663526949241535	1	influenza	-1.0
423	11.125	0.1663526949241535	1	myopathy	-1.0
