	OddRatio	p-value	depth	name	score
263	16.181818181818183	0.12201708459631533	2	kidney cancer	-1.0
162	0.29653679653679654	0.30464882742130045	1	cancer	-1.0
14748	16.181818181818183	0.12201708459631533	2	Sotos syndrome	-1.0
0060041	8.045454545454545	0.17776203160608284	1	autism spectrum disorder	-1.0
9970	3.977272727272727	0.2796413293170091	1	obesity	-1.0
14731	16.181818181818183	0.12201708459631533	2	Weaver syndrome	-1.0
9256	16.181818181818183	0.12201708459631533	2	colorectal cancer	-1.0
1240	0.7227272727272728	1.0	1	leukemia	-1.0
12858	2.2337662337662336	0.41092567990174517	1	Huntington's disease	-1.0
1059	2.621212121212121	0.36982747152274004	1	intellectual disability	-1.0
12603	16.181818181818183	0.12201708459631533	1	acute leukemia	-1.0
4467	16.181818181818183	0.12201708459631533	1	clear cell renal cell carcinoma	-1.0
