	OddRatio	p-value	depth	name	score
9884	1.4416666666666667	0.5457599045753928	1	muscular dystrophy	-1.0
0080322	2.1875	0.42914414956105207	2	polycystic kidney disease	-1.0
10017	8.9	0.19944723618091229	2	multiple endocrine neoplasia type 1	-1.0
0050460	2.933333333333333	0.360641447508383	1	Wolf-Hirschhorn syndrome	-1.0
684	4.425	0.2843543474951058	1	hepatocellular carcinoma	-1.0
1749	8.9	0.19944723618091229	1	squamous cell carcinoma	-1.0
1240	1.8705882352941177	0.2901999240470957	1	leukemia	-1.0
162	1.630952380952381	0.41995925831790515	1	cancer	-1.0
12858	2.5864661654135337	0.24097186127222942	1	Huntington's disease	-1.0
1059	3.0350877192982457	0.1997842878528813	1	intellectual disability	-1.0
