	OddRatio	p-value	depth	name	score
2975	2.868923076923077	0.010159093522610924	2	cystic kidney disease	4.589386061027621
9255	3.17778232405892	0.00012551804635438387	2	frontotemporal dementia	8.983061014077578
12858	0.7084642786938846	0.00014289746206755605	1	Huntington's disease	8.853383233385214
0060318	2.321508896797153	0.008041481755563532	1	acute promyelocytic leukemia	4.8231419148163805
0050466	4.141918294849023	0.03279031667334734	2	Loeys-Dietz syndrome	3.4176220305525944
13636	1.7840033532923336	0.04535190575362492	1	Fanconi anemia	3.093303080070758
5241	6.212306872669153	0.03135639615664832	1	hemangioblastoma	3.462337008577788
3298	1.782874760358908	0.015509453790326859	1	vaccinia	4.166305519027165
0110126	4.142476461183159	0.01724382295701485	1	Bardet-Biedl syndrome 4	4.060301289082519
1107	3.8242578317205185	0.012258551308097812	1	esophageal carcinoma	4.401531519558951
9884	0.7057524225142379	0.00011751024313626788	1	muscular dystrophy	9.048985052551823
0050777	2.7666904252791635	0.00016938190191354263	1	Joubert syndrome	8.68335461785549
0050886	6.212306872669153	0.03135639615664832	1	Troyer syndrome	3.462337008577788
13994	5.522794552989935	0.016573828085004627	2	cleidocranial dysplasia	4.0999304491803
0050569	3.5510204081632653	0.01594553128052752	2	Seckel syndrome	4.138576659506212
1837	3.109258271077908	0.0018775936344399104	1	diabetic ketoacidosis	6.277764303697422
3393	0.14769470721006314	0.028756194296254683	1	coronary artery disease	3.548902081162839
234	0.16881931185398	0.03929405453307093	1	colon adenocarcinoma	3.2366820556973
3459	1.5518851256078963	0.04159887993110744	1	breast carcinoma	3.179682036810391
4953	8.284547069271758	0.006592772514061022	1	poliomyelitis	5.021781303608091
11984	2.098877605558525	0.004005105210120617	1	hypertrophic cardiomyopathy	5.520185429113819
8469	2.98719494319946	2.895653481734275e-07	1	influenza	15.054884837691253
1240	1.357476180625692	4.6771924556868946e-08	1	leukemia	16.877982716667397
8893	0.32741853226175194	0.017154971038644766	2	psoriasis	4.065467290889718
2513	3.6816262088020526	0.04341968367738434	1	basal cell carcinoma	3.136842399740833
9538	2.6511458380791835	1.723769001412325e-05	1	multiple myeloma	10.968412291606219
11720	3.0135410270497367	0.012023120673566512	1	distal myopathy	4.42092376014657
0050576	4.9697389451252	0.046214570348345335	2	Senior-Loken syndrome	3.0744601551095347
4074	2.4552145462205894	0.0482960583928449	1	pancreatic adenocarcinoma	3.0304053284270216
3650	0.3025325831308393	0.03314684891526051	2	lactic acidosis	3.406807622214902
332	1.9145207733443028	0.006282723541062197	2	amyotrophic lateral sclerosis	5.0699517076336225
14175	3.6816262088020526	0.04341968367738434	1	von Hippel-Lindau disease	3.136842399740833
0050778	3.683532804044713	0.0047381827361818	1	Meckel syndrome	5.3521016057786825
0070297	2.8366557739304676	0.002401823983912166	2	primary microcephaly	6.031526836980169
9074	1.7642823033601407	0.03228916110391035	2	systemic lupus erythematosus	3.433023674607962
0050460	0.6279334468463132	1.2497575252748767e-06	1	Wolf-Hirschhorn syndrome	13.592561005246674
2736	6.627495559502664	0.010861029775620827	2	Hajdu-Cheney syndrome	4.522574146170564
0060480	4.141918294849023	0.03279031667334734	1	left ventricular noncompaction	3.4176220305525944
0080307	4.877102334532675	0.0003119119929988548	1	myofibrillar myopathy	8.072789483666686
0080326	4.602850318785654	0.012595343004202675	1	familial hypertrophic cardiomyopathy	4.374428136185727
3490	2.76166785122009	0.03816551813950806	2	Noonan syndrome	3.265822837523374
0060179	8.285841179605614	0.002291832311841064	1	Renpenning syndrome	6.07840364517915
1682	2.2321242814125375	0.014537479597947139	1	congenital heart disease	4.2310251645469625
0050469	3.765806941326572	0.022899959368295697	2	Costello syndrome	3.7766201427337487
12712	2.893194601373248	0.0009809502520866267	2	nephronophthisis	6.926988811115333
11723	4.786644215368187	1.230437163949666e-05	1	Duchenne muscular dystrophy	11.305555940886606
2340	2.120166756965784	0.04313743659525794	2	craniosynostosis	3.1433640603879462
3191	4.602850318785654	0.012595343004202675	1	nemaline myopathy	4.374428136185727
2962	2.9819332766175433	5.281953964249213e-06	2	Cockayne syndrome	12.15121445971815
0050855	3.8242578317205185	0.012258551308097812	2	renal fibrosis	4.401531519558951
162	0.8601843668524484	1.44196418447503e-05	1	cancer	11.146919263811881
10310	8.283253418575741	0.019462129508307037	1	viral meningitis	3.939284778185251
