	OddRatio	p-value	depth	name	score
219	9.1	0.1606431280380016	1	colon cancer	-1.0
162	0.7070707070707071	1.0	1	cancer	-1.0
540	18.3	0.10991276764472922	1	strabismus	-1.0
332	18.3	0.10991276764472922	2	amyotrophic lateral sclerosis	-1.0
9884	2.966666666666667	0.33836150880368154	1	muscular dystrophy	-1.0
12858	2.5285714285714285	0.37707439924603076	1	Huntington's disease	-1.0
0050460	6.033333333333333	0.20873128216086692	1	Wolf-Hirschhorn syndrome	-1.0
0080322	4.5	0.25430173187933897	2	polycystic kidney disease	-1.0
1059	2.966666666666667	0.33836150880368154	1	intellectual disability	-1.0
1485	6.033333333333333	0.20873128216086692	2	cystic fibrosis	-1.0
