	OddRatio	p-value	depth	name	score
9970	2.8125	0.36014608025557887	1	obesity	-1.0
8566	5.6875	0.2339428485711379	1	herpes simplex	-1.0
870	11.4375	0.16238805970146927	1	neuropathy	-1.0
8469	11.4375	0.16238805970146927	1	influenza	-1.0
2841	11.4375	0.16238805970146927	2	asthma	-1.0
0050886	5.6875	0.2339428485711379	1	Troyer syndrome	-1.0
1909	11.4375	0.16238805970146927	2	melanoma	-1.0
162	0.42424242424242425	0.3697280424520385	1	cancer	-1.0
0050700	11.4375	0.16238805970146927	1	cardiomyopathy	-1.0
8778	11.4375	0.16238805970146927	1	Crohn's disease	-1.0
10283	3.7708333333333335	0.29971543227973724	1	prostate cancer	-1.0
1240	0.4851190476190476	0.7001135640217452	1	leukemia	-1.0
9884	1.8541666666666667	0.4665875041628732	1	muscular dystrophy	-1.0
423	11.4375	0.16238805970146927	1	myopathy	-1.0
7319	11.4375	0.16238805970146927	2	axonal neuropathy	-1.0
0080307	11.4375	0.16238805970146927	1	myofibrillar myopathy	-1.0
