	OddRatio	p-value	depth	name	score
14748	16.636363636363637	0.11899529042384759	2	Sotos syndrome	-1.0
4467	16.636363636363637	0.11899529042384759	1	clear cell renal cell carcinoma	-1.0
1240	0.7056277056277056	1.0	1	leukemia	-1.0
1059	2.696969696969697	0.3619914549177766	1	intellectual disability	-1.0
9970	4.090909090909091	0.2733246468823476	1	obesity	-1.0
162	0.2892561983471074	0.30269456100165054	1	cancer	-1.0
14731	16.636363636363637	0.11899529042384759	2	Weaver syndrome	-1.0
12858	2.2987012987012987	0.4024999339706208	1	Huntington's disease	-1.0
12603	16.636363636363637	0.11899529042384759	1	acute leukemia	-1.0
9256	16.636363636363637	0.11899529042384759	2	colorectal cancer	-1.0
0060041	8.272727272727273	0.17349042709862966	1	autism spectrum disorder	-1.0
263	16.636363636363637	0.11899529042384759	2	kidney cancer	-1.0
