	OddRatio	p-value	depth	name	score
3852	13.071428571428571	0.14542409014768243	1	Peutz-Jeghers syndrome	-1.0
12858	3.89010989010989	0.14033497327992872	1	Huntington's disease	-1.0
0080322	3.2142857142857144	0.3269982319799907	2	polycystic kidney disease	-1.0
9884	2.119047619047619	0.427296022310346	1	muscular dystrophy	-1.0
14250	13.071428571428571	0.14542409014768243	1	Down syndrome	-1.0
12377	6.5	0.21049332186230899	1	spinal muscular atrophy	-1.0
8712	13.071428571428571	0.14542409014768243	2	neurofibromatosis	-1.0
10652	4.309523809523809	0.2709147513116405	1	Alzheimer's disease	-1.0
1289	6.5	0.21049332186230899	1	neurodegenerative disease	-1.0
0050460	4.309523809523809	0.2709147513116405	1	Wolf-Hirschhorn syndrome	-1.0
1240	0.5544217687074829	1.0	1	leukemia	-1.0
162	0.7954545454545454	1.0	1	cancer	-1.0
