	OddRatio	p-value	depth	name	score
0050477	52.17566137566138	0.02281111759508843	1	Liddle syndrome	3.7805072480470607
0050454	52.17566137566138	0.02281111759508843	1	periventricular nodular heterotopia	3.7805072480470607
11723	20.165711947626843	0.0051876380292874115	1	Duchenne muscular dystrophy	5.261476785723904
0050954	28.984126984126984	0.037730207618857405	1	spinocerebellar ataxia type 1	3.27729424226841
1240	2.0632008154943935	0.0030736519230722906	1	leukemia	5.784888872849474
0060041	8.589117544471573	0.024555657375186047	1	autism spectrum disorder	3.706813008308411
14731	43.47883597883598	0.026562322517669983	2	Weaver syndrome	3.6282615140075425
14748	43.47883597883598	0.026562322517669983	2	Sotos syndrome	3.6282615140075425
0050886	131.13563829787233	0.00021761323953632802	1	Troyer syndrome	8.432791201375984
305	3.6226582418800577	0.027481157454027735	2	carcinoma	3.5942546926450003
8566	6.465721040189125	0.040716445403039765	1	herpes simplex	3.201123204188694
1059	2.7687282229965158	0.025120625510423163	1	intellectual disability	3.6840660367995195
9883	65.22089947089947	0.01904553353613789	1	Becker muscular dystrophy	3.9609226649447358
4467	37.26681783824641	0.030299202919031275	1	clear cell renal cell carcinoma	3.4966338731154285
0060179	52.17566137566138	0.02281111759508843	1	Renpenning syndrome	3.7805072480470607
