	OddRatio	p-value	depth	name	score
0080326	4.520929060276469	0.013455354222065534	1	familial hypertrophic cardiomyopathy	4.308378168723527
1107	3.7561820378574304	0.013217547613148714	1	esophageal carcinoma	4.326209967580188
1240	1.365224941816189	1.8618077965336348e-08	1	leukemia	17.79913279462868
12704	2.420389472441874	0.0168944887768613	1	ataxia telangiectasia	4.080767818115876
0080307	4.790224158122907	0.000355502284684046	1	myofibrillar myopathy	7.941978882063582
14175	3.616112274172288	0.04568227333529177	1	von Hippel-Lindau disease	3.086044948338287
0050466	4.068213538032101	0.034547558398656183	2	Loeys-Dietz syndrome	3.365418399900736
8469	2.9337304960672714	3.4889955498028905e-07	1	influenza	14.868481764248079
332	1.880332902391726	0.00976613806880659	2	amyotrophic lateral sclerosis	4.628834175739698
13636	1.7521851434591778	0.047166552627661874	1	Fanconi anemia	3.054070268357965
0050777	2.717302531793256	0.00019551152768331335	1	Joubert syndrome	8.539891215145191
0050469	3.698783331482686	0.024390971901297534	2	Costello syndrome	3.71354221919655
0050886	6.101779173207745	0.03271533465449032	1	Troyer syndrome	3.4199113613228627
5419	0.7435028336144117	0.0013259991996046766	1	schizophrenia	6.625588990835031
305	1.411555460007046	0.03371873512035163	2	carcinoma	3.3897016578108956
3191	4.520929060276469	0.013455354222065534	1	nemaline myopathy	4.308378168723527
0050646	4.068748909439888	0.018393762802779063	1	distal arthrogryposis	3.995743649943097
9255	3.121095755843808	0.00015390097104815616	2	frontotemporal dementia	8.779201207534692
9119	1.5158354806092829	0.04201460530269161	1	acute myeloid leukemia	3.1697379758459716
3852	1.8094017094017094	0.038720526169635505	1	Peutz-Jeghers syndrome	3.2513854275742657
234	0.16581677134672526	0.039284086065099796	1	colon adenocarcinoma	3.2369357768454137
9074	1.7327993091434273	0.03384243679823638	2	systemic lupus erythematosus	3.386039737432519
0050778	3.617939168218498	0.005226761945571031	1	Meckel syndrome	5.253963323511925
0050477	8.138370266969115	0.002463272588458556	1	Liddle syndrome	6.006264492618592
162	0.8663117385190694	3.073896514058982e-05	1	cancer	10.389979485332997
397	4.068213538032101	0.034547558398656183	1	restrictive cardiomyopathy	3.365418399900736
2513	3.616112274172288	0.04568227333529177	1	basal cell carcinoma	3.086044948338287
