	OddRatio	p-value	depth	go_descr	score
0005667	1.2899453949763378	0.011262054145679302	2	transcription factor complex	4.486316244340339
0050662	24.057440072365445	0.04429364216360074	3	coenzyme binding	3.1169141299823813
0051219	7.350193477059149	0.00014078767458096335	3	phosphoprotein binding	8.868257656559525
0016477	2.5699145166905195	0.014987843939434515	3	cell migration	4.200515810472498
0060669	44.106135986733	0.026081269778634116	3	embryonic placenta morphogenesis	3.646537855277836
0030154	0.4918220813993348	0.0005017789394955888	3	cell differentiation	7.597350894829835
0044304	44.106135986733	0.026081269778634116	2	main axon	3.646537855277836
0001763	26.463283582089552	0.04067859227647448	2	morphogenesis of a branching structure	3.202053313206967
0017145	44.106135986733	0.026081269778634116	3	stem cell division	3.646537855277836
0097539	29.40375898286346	0.03704988176930335	2	ciliary transition fiber	3.295490118357053
0008092	3.527575456053068	0.0010763543709259265	3	cytoskeletal protein binding	6.834175530454165
0044877	1.9823253801274303	0.00734649020585264	2	protein-containing complex binding	4.9135326028210615
0003713	5.593284210526316	0.0009112381577890856	3	transcription coactivator activity	7.000706270293382
0005829	1.4166262933294398	0.002576417532788144	2	cytosol	5.961355398164816
0005737	1.6805886632744165	0.009621850085393749	2	cytoplasm	4.643718716225986
0002162	26.463283582089552	0.04067859227647448	3	dystroglycan binding	3.202053313206967
0043197	5.000225737880697	0.023851883306818155	3	dendritic spine	3.735892100118867
0099173	37.80511727078891	0.029751272359202142	3	postsynapse organization	3.514883379528497
0016859	264.64179104477614	0.007522185696952142	3	cis-trans isomerase activity	4.889898532060819
0031647	6.790479109204209	0.006290630653547983	3	regulation of protein stability	5.068693950410563
0016607	5.9782464600784895	3.1923791643419796e-05	3	nuclear speck	10.352159006615722
0098978	4.5404273504273505	0.002548986126526764	3	glutamatergic synapse	5.972059596315106
0030055	132.32039800995025	0.011262054145679302	3	cell-substrate junction	4.486316244340339
0003755	12.319234689150376	0.01261535780006466	3	peptidyl-prolyl cis-trans isomerase activity	4.372840334226365
0030054	2.6448239202657806	0.011262054145679302	2	cell junction	4.486316244340339
1904047	24.057440072365445	0.04429364216360074	3	S-adenosyl-L-methionine binding	3.1169141299823813
0005681	3.149514333096423	0.002840520165248146	3	spliceosomal complex	5.8637680868026605
0046332	11.27061964906332	0.01483788641901416	3	SMAD binding	4.210571475980982
0016010	31.16346379189126	0.002324572850547941	3	dystrophin-associated glycoprotein complex	6.064218977015874
0051607	4.0765549505330165	0.03961516305059118	3	defense response to virus	3.2285433286932763
0007165	2.976918861126834	5.815250560182288e-06	2	signal transduction	12.055026684326528
0048037	13.927572663000786	0.04429364216360074	2	cofactor binding	3.1169141299823813
0042995	2.30024659312135	0.014987843939434515	2	cell projection	4.200515810472498
0032991	3.0331653023333285	0.0007872135393891262	1	protein-containing complex	7.147011012946895
0042391	8.283586739780658	0.006397377183542255	3	regulation of membrane potential	5.05186718768518
0007155	0.5871000552791598	0.04067859227647448	2	cell adhesion	3.202053313206967
0008134	3.1005124254415146	0.04304365039642906	3	transcription factor binding	3.1455405526816897
0070064	79.7838	6.089435723072264e-10	3	proline-rich region binding	21.219295508821485
1990763	29.40375898286346	0.03704988176930335	3	arrestin family protein binding	3.295490118357053
0070097	33.079353233830844	0.03340745903966654	3	delta-catenin binding	3.3989760793917814
0045202	2.5856190058906576	0.002548986126526764	2	synapse	5.972059596315106
0016020	1.2078490921319458	0.002576417532788144	2	membrane	5.961355398164816
0007166	1.2713260619977038	0.018699608002325376	3	cell surface receptor signaling pathway	3.9792527177838046
0060090	29.517260517260517	1.3848182797540922e-06	2	molecular adaptor activity	13.48994163288695
0043021	16.55465637450199	0.00734649020585264	3	ribonucleoprotein complex binding	4.9135326028210615
0035556	1.4260746770331074	5.815250560182288e-06	3	intracellular signal transduction	12.055026684326528
0046716	25.22718649212673	0.0034051167469048207	3	muscle cell cellular homeostasis	5.682476053065413
0044111	264.64179104477614	0.007522185696952142	2	development involved in symbiotic interaction	4.889898532060819
0032835	29.40375898286346	0.03704988176930335	3	glomerulus development	3.295490118357053
0005615	0.1675672592451754	0.03604060098875056	2	extracellular space	3.3231091707775247
0051301	1.5248458615107294	0.026081269778634116	2	cell division	3.646537855277836
0016604	0.8472190330399285	3.1923791643419796e-05	2	nuclear body	10.352159006615722
0005911	4.367951091779606	0.011804700000196948	3	cell-cell junction	4.439257521711502
0005576	0.13880570733232936	0.012741458934533904	2	extracellular region	4.362894119340116
0007050	5.97829818814234	0.015100795382890313	3	cell cycle arrest	4.193007862184907
0017080	8.820431177446103	0.0005017789394955888	3	sodium channel regulator activity	7.597350894829835
0050808	13.243326693227091	0.00734649020585264	3	synapse organization	4.9135326028210615
0101031	26.463283582089552	0.04067859227647448	2	chaperone complex	3.202053313206967
0030426	5.7615848107850365	0.016611822878988623	3	growth cone	4.097640615503278
0019899	1.482077293068622	0.018699608002325376	3	enzyme binding	3.9792527177838046
