	OddRatio	p-value	depth	go_descr	score
0006511	10.78888888888889	0.02246161436384214	7	ubiquitin-dependent protein catabolic process	-1.0
0016567	8.809090909090909	0.02246161436384214	8	protein ubiquitination	-1.0
0090090	23.285714285714285	0.0644956241363866	7	negative regulation of canonical Wnt signaling pathway	-1.0
0072686	46.61904761904762	0.04345155842171592	6	mitotic spindle	-1.0
0000209	10.78888888888889	0.02246161436384214	9	protein polyubiquitination	-1.0
0045732	10.78888888888889	0.02246161436384214	6	positive regulation of protein catabolic process	-1.0
0048814	19.5	0.009046231107927752	7	regulation of dendrite morphogenesis	-1.0
0030071	46.61904761904762	0.04345155842171592	7	regulation of mitotic metaphase/anaphase transition	-1.0
0043161	10.78888888888889	0.02246161436384214	6	proteasome-mediated ubiquitin-dependent protein catabolic process	-1.0
2000650	24.4	0.006548573490750042	6	negative regulation of sodium ion transmembrane transporter activity	-1.0
0005737	3.5296296296296297	0.13079014224313437	2	cytoplasm	-1.0
0005829	1.6807760141093475	0.46754062801643953	2	cytosol	-1.0
0061630	10.78888888888889	0.02246161436384214	5	ubiquitin protein ligase activity	-1.0
