	OddRatio	p-value	depth	go_descr	score
0005829	0.9896157840083074	1.0	2	cytosol	-1.0
0005886	2.6037735849056602	0.09909170228226676	3	plasma membrane	-1.0
0004842	4.5514018691588785	0.05346289617600126	4	ubiquitin-protein transferase activity	-1.0
0045732	3.0249221183800623	0.11216344993458005	6	positive regulation of protein catabolic process	-1.0
0046718	2.9877675840978593	0.3469756600912244	7	viral entry into host cell	-1.0
0003723	2.9877675840978593	0.3469756600912244	4	RNA binding	-1.0
0000209	3.0249221183800623	0.11216344993458005	9	protein polyubiquitination	-1.0
0032801	4.486238532110092	0.2734519370719884	4	receptor catabolic process	-1.0
0005911	2.9877675840978593	0.3469756600912244	3	cell-cell junction	-1.0
0090263	2.9877675840978593	0.3469756600912244	7	positive regulation of canonical Wnt signaling pathway	-1.0
0043025	4.486238532110092	0.2734519370719884	3	neuronal cell body	-1.0
0045121	4.486238532110092	0.2734519370719884	5	membrane raft	-1.0
0005685	4.486238532110092	0.2734519370719884	5	U1 snRNP	-1.0
0007155	8.98165137614679	0.1917338522844386	2	cell adhesion	-1.0
0007166	8.98165137614679	0.05288076801350153	3	cell surface receptor signaling pathway	-1.0
0030509	9.055555555555555	0.05288076801350153	6	BMP signaling pathway	-1.0
0005730	8.98165137614679	0.1917338522844386	5	nucleolus	-1.0
0016579	8.98165137614679	0.1917338522844386	6	protein deubiquitination	-1.0
0005654	1.280373831775701	0.7270351717957562	2	nucleoplasm	-1.0
0046332	4.486238532110092	0.1917338522844386	3	SMAD binding	-1.0
0005737	1.3319357092942	0.5445259755429578	2	cytoplasm	-1.0
0007417	8.98165137614679	0.1917338522844386	4	central nervous system development	-1.0
0034220	4.486238532110092	0.2734519370719884	5	ion transmembrane transport	-1.0
0000151	4.518518518518518	0.11562312069588086	4	ubiquitin ligase complex	-1.0
0030154	8.98165137614679	0.1917338522844386	3	cell differentiation	-1.0
0061734	8.98165137614679	0.1917338522844386	8	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization	-1.0
0000398	2.238532110091743	0.3469756600912244	8	mRNA splicing, via spliceosome	-1.0
0048185	8.98165137614679	0.1917338522844386	3	activin binding	-1.0
1901165	8.98165137614679	0.1917338522844386	5	positive regulation of trophoblast cell migration	-1.0
0071944	8.98165137614679	0.1917338522844386	2	cell periphery	-1.0
0000122	0.9898063200815495	1.0	8	negative regulation of transcription by RNA polymerase II	-1.0
0017015	8.98165137614679	0.08239857946509213	6	regulation of transforming growth factor beta receptor signaling pathway	-1.0
0016607	1.9979423868312758	0.3065684853274736	3	nuclear speck	-1.0
0061630	3.0249221183800623	0.11216344993458005	5	ubiquitin protein ligase activity	-1.0
0070412	8.98165137614679	0.1917338522844386	4	R-SMAD binding	-1.0
0005912	8.98165137614679	0.1917338522844386	4	adherens junction	-1.0
0007398	8.98165137614679	0.1917338522844386	4	ectoderm development	-1.0
0071004	4.486238532110092	0.2734519370719884	5	U2-type prespliceosome	-1.0
0045292	2.9877675840978593	0.3469756600912244	9	mRNA cis splicing, via spliceosome	-1.0
0030054	1.7889908256880733	0.1917338522844386	2	cell junction	-1.0
0006511	3.0249221183800623	0.05288076801350153	7	ubiquitin-dependent protein catabolic process	-1.0
0016567	2.469838572642311	0.11216344993458005	8	protein ubiquitination	-1.0
0045892	6.030864197530864	0.08239857946509213	7	negative regulation of transcription, DNA-templated	-1.0
0007179	8.98165137614679	0.1917338522844386	6	transforming growth factor beta receptor signaling pathway	-1.0
0005524	4.486238532110092	0.2734519370719884	3	ATP binding	-1.0
0005623	2.238532110091743	0.4131199302480285	1	cell	-1.0
0030279	8.98165137614679	0.1917338522844386	5	negative regulation of ossification	-1.0
0061753	8.98165137614679	0.1917338522844386	4	substrate localization to autophagosome	-1.0
0070062	1.9979423868312758	0.3065684853274736	5	extracellular exosome	-1.0
0006611	8.98165137614679	0.1917338522844386	5	protein export from nucleus	-1.0
0005543	8.98165137614679	0.1917338522844386	3	phospholipid binding	-1.0
0034394	8.98165137614679	0.1917338522844386	5	protein localization to cell surface	-1.0
0030512	6.030864197530864	0.08239857946509213	7	negative regulation of transforming growth factor beta receptor signaling pathway	-1.0
0071211	8.98165137614679	0.1917338522844386	6	protein targeting to vacuole involved in autophagy	-1.0
0070411	8.98165137614679	0.1917338522844386	4	I-SMAD binding	-1.0
0060090	1.7889908256880733	0.4726192921584164	2	molecular adaptor activity	-1.0
0065003	4.486238532110092	0.2734519370719884	4	protein-containing complex assembly	-1.0
0005634	0.7705314009661836	1.0	5	nucleus	-1.0
0042802	2.9877675840978593	0.3469756600912244	3	identical protein binding	-1.0
0007165	1.7962962962962963	0.05288076801350153	2	signal transduction	-1.0
0030424	8.98165137614679	0.1917338522844386	5	axon	-1.0
2000060	8.98165137614679	0.1917338522844386	9	positive regulation of ubiquitin-dependent protein catabolic process	-1.0
1903861	4.486238532110092	0.2734519370719884	6	positive regulation of dendrite extension	-1.0
0051393	8.98165137614679	0.1917338522844386	5	alpha-actinin binding	-1.0
0043161	3.0249221183800623	0.11216344993458005	6	proteasome-mediated ubiquitin-dependent protein catabolic process	-1.0
0008022	4.486238532110092	0.2734519370719884	3	protein C-terminus binding	-1.0
0061736	8.98165137614679	0.1917338522844386	5	engulfment of target by autophagosome	-1.0
0005160	8.98165137614679	0.1917338522844386	5	transforming growth factor beta receptor binding	-1.0
0042995	8.98165137614679	0.1917338522844386	2	cell projection	-1.0
0005923	2.9877675840978593	0.3469756600912244	5	bicellular tight junction	-1.0
0072659	8.98165137614679	0.1917338522844386	6	protein localization to plasma membrane	-1.0
0030579	9.055555555555555	0.05288076801350153	8	ubiquitin-dependent SMAD protein catabolic process	-1.0
0060071	9.055555555555555	0.05288076801350153	7	Wnt signaling pathway, planar cell polarity pathway	-1.0
0030514	9.055555555555555	0.05288076801350153	6	negative regulation of BMP signaling pathway	-1.0
0022409	8.98165137614679	0.1917338522844386	5	positive regulation of cell-cell adhesion	-1.0
