	OddRatio	p-value	depth	go_descr	score
0097198	27.194444444444443	0.07147391974242988	7	histone H3-K36 trimethylation	-1.0
0032465	9.046296296296296	0.13796772199786675	5	regulation of cytokinesis	-1.0
0030900	27.194444444444443	0.07147391974242988	3	forebrain development	-1.0
0006355	5.416666666666667	0.19981942675389813	6	regulation of transcription, DNA-templated	-1.0
0010793	27.194444444444443	0.07147391974242988	6	regulation of mRNA export from nucleus	-1.0
0001763	27.194444444444443	0.07147391974242988	2	morphogenesis of a branching structure	-1.0
0034340	27.194444444444443	0.07147391974242988	5	response to type I interferon	-1.0
0010569	27.194444444444443	0.07147391974242988	7	regulation of double-strand break repair via homologous recombination	-1.0
0051607	9.046296296296296	0.13796772199786675	3	defense response to virus	-1.0
0035987	27.194444444444443	0.07147391974242988	4	endodermal cell differentiation	-1.0
0060669	27.194444444444443	0.07147391974242988	3	embryonic placenta morphogenesis	-1.0
0048863	27.194444444444443	0.07147391974242988	4	stem cell differentiation	-1.0
0060039	27.194444444444443	0.07147391974242988	5	pericardium development	-1.0
0001525	27.194444444444443	0.07147391974242988	3	angiogenesis	-1.0
0018026	27.194444444444443	0.07147391974242988	6	peptidyl-lysine monomethylation	-1.0
1902850	27.194444444444443	0.07147391974242988	4	microtubule cytoskeleton organization involved in mitosis	-1.0
0006298	27.194444444444443	0.07147391974242988	6	mismatch repair	-1.0
0016279	27.194444444444443	0.07147391974242988	4	protein-lysine N-methyltransferase activity	-1.0
0005654	1.2685185185185186	0.5613339874711829	2	nucleoplasm	-1.0
0005694	27.194444444444443	0.07147391974242988	5	chromosome	-1.0
0006368	27.194444444444443	0.07147391974242988	7	transcription elongation from RNA polymerase II promoter	-1.0
1905634	27.194444444444443	0.07147391974242988	6	regulation of protein localization to chromatin	-1.0
0097676	27.194444444444443	0.07147391974242988	7	histone H3-K36 dimethylation	-1.0
0046872	27.194444444444443	0.07147391974242988	4	metal ion binding	-1.0
0018024	27.194444444444443	0.07147391974242988	5	histone-lysine N-methyltransferase activity	-1.0
0048701	27.194444444444443	0.07147391974242988	6	embryonic cranial skeleton morphogenesis	-1.0
0046975	27.194444444444443	0.07147391974242988	6	histone methyltransferase activity (H3-K36 specific)	-1.0
0060977	27.194444444444443	0.07147391974242988	5	coronary vasculature morphogenesis	-1.0
0018023	27.194444444444443	0.07147391974242988	6	peptidyl-lysine trimethylation	-1.0
0005634	1.1557971014492754	0.5933676104042775	5	nucleus	-1.0
0043014	27.194444444444443	0.07147391974242988	5	alpha-tubulin binding	-1.0
0035441	27.194444444444443	0.07147391974242988	4	cell migration involved in vasculogenesis	-1.0
0001843	27.194444444444443	0.07147391974242988	5	neural tube closure	-1.0
0048864	27.194444444444443	0.07147391974242988	4	stem cell development	-1.0
0034728	27.194444444444443	0.07147391974242988	4	nucleosome organization	-1.0
0032727	27.194444444444443	0.07147391974242988	7	positive regulation of interferon-alpha production	-1.0
0048332	27.194444444444443	0.07147391974242988	4	mesoderm morphogenesis	-1.0
