	OddRatio	p-value	depth	go_descr	score
0044306	19.58	0.09653178646446005	2	neuron projection terminus	-1.0
0030018	9.78	0.14131009442385942	2	Z disc	-1.0
0032991	2.78	0.09653178646446005	1	protein-containing complex	-1.0
0002162	19.58	0.09653178646446005	3	dystroglycan binding	-1.0
0035994	19.58	0.09653178646446005	4	response to muscle stretch	-1.0
0045666	19.58	0.09653178646446005	7	positive regulation of neuron differentiation	-1.0
0034613	19.58	0.09653178646446005	4	cellular protein localization	-1.0
0050998	19.58	0.09653178646446005	4	nitric-oxide synthase binding	-1.0
0010881	19.58	0.09653178646446005	6	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	-1.0
2000651	19.58	0.09653178646446005	6	positive regulation of sodium ion transmembrane transporter activity	-1.0
0060314	19.58	0.09653178646446005	5	regulation of ryanodine-sensitive calcium-release channel activity	-1.0
0005886	1.38	0.14131009442385942	3	plasma membrane	-1.0
0014809	19.58	0.09653178646446005	6	regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	-1.0
0034622	19.58	0.09653178646446005	5	cellular protein-containing complex assembly	-1.0
0031527	9.78	0.14131009442385942	5	filopodium membrane	-1.0
0005623	4.88	0.22443682362041814	1	cell	-1.0
0008307	19.58	0.09653178646446005	2	structural constituent of muscle	-1.0
1902083	19.58	0.09653178646446005	8	negative regulation of peptidyl-cysteine S-nitrosylation	-1.0
0008270	6.513333333333334	0.18391046911675243	6	zinc ion binding	-1.0
0005856	3.9	0.26298820958101954	5	cytoskeleton	-1.0
0030055	19.58	0.09653178646446005	3	cell-substrate junction	-1.0
0045202	6.513333333333334	0.18391046911675243	2	synapse	-1.0
0042383	9.78	0.14131009442385942	4	sarcolemma	-1.0
0033137	19.58	0.09653178646446005	9	negative regulation of peptidyl-serine phosphorylation	-1.0
0009986	19.58	0.09653178646446005	2	cell surface	-1.0
0030049	19.58	0.09653178646446005	6	muscle filament sliding	-1.0
0010976	6.513333333333334	0.18391046911675243	7	positive regulation of neuron projection development	-1.0
0045211	6.513333333333334	0.18391046911675243	5	postsynaptic membrane	-1.0
0010880	19.58	0.09653178646446005	5	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	-1.0
1901385	19.58	0.09653178646446005	7	regulation of voltage-gated calcium channel activity	-1.0
0017166	9.78	0.14131009442385942	4	vinculin binding	-1.0
0048747	19.58	0.09653178646446005	6	muscle fiber development	-1.0
0016013	19.58	0.09653178646446005	4	syntrophin complex	-1.0
0002027	19.58	0.09653178646446005	3	regulation of heart rate	-1.0
0045121	9.78	0.14131009442385942	5	membrane raft	-1.0
0043043	19.58	0.09653178646446005	5	peptide biosynthetic process	-1.0
0014819	19.58	0.09653178646446005	8	regulation of skeletal muscle contraction	-1.0
0046716	9.78	0.14131009442385942	3	muscle cell cellular homeostasis	-1.0
0005829	0.705925925925926	1.0	2	cytosol	-1.0
0044458	19.58	0.09653178646446005	6	motile cilium assembly	-1.0
0030175	9.78	0.14131009442385942	5	filopodium	-1.0
0007517	9.78	0.14131009442385942	4	muscle organ development	-1.0
0017022	19.58	0.09653178646446005	4	myosin binding	-1.0
0043034	19.58	0.09653178646446005	2	costamere	-1.0
0060048	19.58	0.09653178646446005	6	cardiac muscle contraction	-1.0
0090287	19.58	0.09653178646446005	4	regulation of cellular response to growth factor stimulus	-1.0
0003779	9.78	0.14131009442385942	4	actin binding	-1.0
0086001	19.58	0.09653178646446005	5	cardiac muscle cell action potential	-1.0
0005200	19.58	0.09653178646446005	2	structural constituent of cytoskeleton	-1.0
0005634	0.8321739130434782	1.0	5	nucleus	-1.0
0016010	9.78	0.14131009442385942	3	dystrophin-associated glycoprotein complex	-1.0
