	OddRatio	p-value	depth	go_descr	score
0030154	1.8991214430104182	0.0008234157150477421	3	cell differentiation	7.102049363253466
0030618	67.30779816513761	0.017684337780282187	3	transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	4.03507590230245
0061024	7.249684835001854	0.005929792684605564	3	membrane organization	5.127766027021144
0032835	56.0894495412844	0.020601241328836478	3	glomerulus development	3.8824039463207005
0005543	5.3397771952817825	0.026409148758239586	3	phospholipid binding	3.634044784989614
0046332	9.613433813892529	4.2147959383022825e-06	3	SMAD binding	12.376909380896581
0005667	9.840700639792402	0.003999875086257383	2	transcription factor complex	5.521492146785518
0007165	1.2310218517115068	1.715618258716455e-05	2	signal transduction	10.97315194860779
0001763	168.27293577981652	0.008881520135420618	2	morphogenesis of a branching structure	4.723782550207541
0032991	3.371133367505025	0.0006714254301058044	1	protein-containing complex	7.3061075978982055
0031386	42.06651376146789	0.026409148758239586	1	protein tag	3.634044784989614
0030617	336.54816513761466	0.005929792684605564	3	transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity	5.127766027021144
0048037	24.037024901703802	0.029300203651677344	2	cofactor binding	3.5301608124140778
0060669	112.18119266055047	0.011824502920605435	3	embryonic placenta morphogenesis	4.437581381800128
0009880	25.88620324629499	0.04077902270440281	3	embryonic pattern specification	3.1995874791940393
0050662	37.392201834862384	0.029300203651677344	3	coenzyme binding	3.5301608124140778
0048185	56.216091954022986	0.0007817902324260519	3	activin binding	7.153924098382556
0007596	6.4824049513704685	0.039977637616825955	3	blood coagulation	3.219435040779627
0035264	12.042692939244663	0.013029816991553922	2	multicellular organism growth	4.340514933104883
0017145	84.13532110091744	0.014758766873894298	3	stem cell division	4.2159180084290115
0006325	3.779172250283476	0.0007817902324260519	3	chromatin organization	7.153924098382556
0000786	17.294076038903626	0.0006714254301058044	3	nucleosome	7.3061075978982055
0019899	1.343908256880734	0.017684337780282187	3	enzyme binding	4.03507590230245
0071141	56.0894495412844	0.020601241328836478	2	SMAD protein complex	3.8824039463207005
