	OddRatio	p-value	depth	go_descr	score
0030017	2.604301066313212	0.0016770395751836262	2	sarcomere	6.390725197621882
0042752	2.5681073560432655	0.00028875572384640607	3	regulation of circadian rhythm	8.149929473480045
0001763	0.6738611685287422	0.005566056764084795	2	morphogenesis of a branching structure	5.191068417568099
0030546	3.369410502629582	0.00010452711827450256	3	signaling receptor activator activity	9.16606401520585
0005737	0.9058595393410077	0.0047248205486977975	2	cytoplasm	5.354925697869233
0006935	0.39628337138115916	0.0022996940748695053	3	chemotaxis	6.074979175820073
0048037	0.37435568696198224	5.278447424161361e-06	2	cofactor binding	12.151878551941115
0040012	2.246297556125386	0.0006072297421506217	3	regulation of locomotion	7.406603350620958
0004857	0.8694956343230669	0.002917351060393496	3	enzyme inhibitor activity	5.837079245528789
0005886	0.5101788017631225	2.003440666006511e-37	3	plasma membrane	84.50078240529436
0034715	5.616184744210389	0.00845556694123999	3	pICln-Sm protein complex	4.7729302449186415
0005085	0.28544452994542474	0.001727907633580055	2	guanyl-nucleotide exchange factor activity	6.360844062818244
0005938	1.7334986980335818	0.0047248205486977975	3	cell cortex	5.354925697869233
0055114	0.09420011146946099	7.568117869993344e-07	2	oxidation-reduction process	14.094151244542324
0035148	2.021689300573043	0.006731475520283988	3	tube formation	5.000960914143146
0031424	0.03804656571117126	8.645183734861184e-10	2	keratinization	20.86884855772149
0008289	0.504113519573602	0.008120781104087295	2	lipid binding	4.813328934350359
0051090	2.073669970770358	0.0004594311942213259	3	regulation of DNA-binding transcription factor activity	7.68552136792195
0003700	0.5804030835554475	1.27366359758184e-06	2	DNA-binding transcription factor activity	13.573613087815769
0002218	1.1231290558928197	7.33885181797833e-13	3	activation of innate immune response	27.940423806600663
0009653	0.12591121373057565	7.889731688617348e-05	2	anatomical structure morphogenesis	9.447363337203056
0006952	0.5945272597969946	5.880738457845504e-06	3	defense response	12.043828215870297
0002764	6.738847170255632	3.7348853010427464e-16	3	immune response-regulating signaling pathway	35.52364437901699
0097435	1.0367245397859244	0.007314040589012254	3	supramolecular fiber organization	4.91795940977455
0000790	0.6048226121272845	6.733014583169663e-06	3	nuclear chromatin	11.908487582478974
0005622	0.9503147667585365	0.0035366991076871018	1	intracellular	5.644561442299101
0030286	1.5315915930203514	0.0068457412598808475	3	dynein complex	4.98412853393823
0008541	5.776775901128233	0.0035366991076871018	2	proteasome regulatory particle, lid subcomplex	5.644561442299101
0000930	4.901687237707336	0.0015536701219887295	2	gamma-tubulin complex	6.467135326283101
0031647	1.7074882856469726	0.00480761568089823	3	regulation of protein stability	5.337554018201503
0071141	5.776775901128233	0.0035366991076871018	2	SMAD protein complex	5.644561442299101
0042493	0.6315793348515785	0.0023597447848783945	3	response to drug	6.049201807793066
0010033	1.0210174491215966	0.00016414376633082747	3	response to organic substance	8.714767890182001
0044183	3.3700926507537687	0.0013306778380728767	1	protein folding chaperone	6.622066813890922
0016020	0.8452712198509379	2.003440666006511e-37	2	membrane	84.50078240529436
0030036	1.152775787323994	0.007314040589012254	3	actin cytoskeleton organization	4.91795940977455
0006457	0.9483835501688438	8.142286696245092e-05	2	protein folding	9.415854403492041
0000226	1.8442463723795441	4.1714486626680855e-06	3	microtubule cytoskeleton organization	12.387247181363916
0030054	0.6450264533138151	0.0010357589266275025	2	cell junction	6.8726208585283315
0007154	0.5183361042118696	5.04314487562064e-05	2	cell communication	9.894895594225495
0005829	1.2200920186124165	1.0419752314424522e-07	2	cytosol	16.07697747811844
0003824	0.14647108142205617	3.967231654786381e-26	1	catalytic activity	58.48914388255881
0050900	0.7774546223309474	0.0022996940748695053	2	leukocyte migration	6.074979175820073
0009408	0.9402739285857734	0.0015826044334494628	3	response to heat	6.448683413422283
0009887	1.1027442637463056	0.0059080002293379905	3	animal organ morphogenesis	5.131447875494794
0007267	0.4721314061989733	5.04314487562064e-05	2	cell-cell signaling	9.894895594225495
0019725	1.9254388588175484	0.001816918629915133	2	cellular homeostasis	6.310613273226279
0007049	1.208378274720372	0.00029630062131057893	2	cell cycle	8.12413600648996
0003823	0.612588547043516	0.0039370741007768795	2	antigen binding	5.537317445562691
0030154	0.4381282827592587	3.247432306050575e-07	3	cell differentiation	14.940231026555047
0034719	3.3698445514498063	0.008342974437231738	3	SMN-Sm protein complex	4.786335479044871
0098772	1.6846921688165573	2.1569040609597793e-05	1	molecular function regulator	10.744251576549706
0048185	4.0439349925414145	0.0020964718557738068	3	activin binding	6.167499415830015
0016607	2.1072683288144116	1.7626254653534933e-11	3	nuclear speck	24.761631583747654
0008013	2.729106029883802	5.4955039429703875e-06	3	beta-catenin binding	12.11158026494697
0016605	1.966161107038123	0.002883096126291021	3	PML body	5.848890518429059
0046332	3.1555244621251197	3.5163774305640285e-05	3	SMAD binding	10.25549414433173
0016021	0.1587093879713383	7.830907438899468e-112	3	integral component of membrane	255.83145201946567
0000815	4.717768822128595	0.00356704479544509	3	ESCRT III complex	5.636017814387324
0008047	0.5734614887826865	2.1569040609597793e-05	3	enzyme activator activity	10.744251576549706
0008022	1.7467533437132219	0.0007662161697174503	3	protein C-terminus binding	7.174046222138823
0006139	0.6521046620867086	3.339811015355568e-57	3	nucleobase-containing compound metabolic process	130.04143607750171
0090559	3.3695345003532458	0.0022474062948481086	3	regulation of membrane permeability	6.097978485547475
0032153	4.717768822128595	0.00356704479544509	2	cell division site	5.636017814387324
0048511	2.1398653702318624	0.00484313551600107	1	rhythmic process	5.330192934122864
0045184	0.8423164987570326	0.000759690388811444	3	establishment of protein localization	7.18259959082979
0005838	6.739598053069556	0.0021371653019007504	2	proteasome regulatory particle	6.14827495331998
0005861	6.739898461216372	0.00037912661010317103	2	troponin complex	7.87764034507191
0050662	0.6738611685287422	0.005372173456214645	3	coenzyme binding	5.226522711897031
0005581	0.11616130630098227	0.005476829276539164	2	collagen trimer	5.207228944646994
0045165	1.1002164081376296	0.0021371653019007504	3	cell fate commitment	6.14827495331998
0000347	5.391417207452376	0.00845556694123999	2	THO complex	4.7729302449186415
0050794	6.738997331100529	3.0006395758945716e-25	3	regulation of cellular process	56.46580186694035
0000922	2.3405249615870676	1.0141976373652072e-05	2	spindle pole	11.49882767014927
0007098	3.111162121999251	0.0002012707850505173	3	centrosome cycle	8.510859367244464
0050790	1.3477667006829421	0.001973978118344975	3	regulation of catalytic activity	6.227704422963909
0008233	1.0502023102525615	1.1032195476172657e-07	3	peptidase activity	16.01986288460342
0003735	0.13120512425795414	1.9169300049766987e-06	2	structural constituent of ribosome	13.164785607359915
0048856	0.3642206233655289	1.0195643046673853e-11	2	anatomical structure development	25.309060639180725
0005654	1.2152151862388159	9.398799155445538e-06	2	nucleoplasm	11.574928626269656
0009755	0.470100058965601	0.005517095518072242	3	hormone-mediated signaling pathway	5.199903731433663
0048646	1.6847100842534932	0.006731475520283988	2	anatomical structure formation involved in morphogenesis	5.000960914143146
0019827	1.482652254704389	0.0027799381071433003	2	stem cell population maintenance	5.8853266151449475
0061138	1.6846921688165573	0.005566056764084795	3	morphogenesis of a branching epithelium	5.191068417568099
0000785	1.0640299216828881	6.733014583169663e-06	2	chromatin	11.908487582478974
0005198	1.471506432609641	1.9169300049766987e-06	1	structural molecule activity	13.164785607359915
0023014	1.2377758514884323	3.1499543184040966e-06	3	signal transduction by protein phosphorylation	12.668122607325827
0005643	0.09488754395074495	0.00116145245407223	2	nuclear pore	6.758083941527328
0031023	3.8509823858368972	0.0002012707850505173	3	microtubule organizing center organization	8.510859367244464
0097539	5.241985711668804	0.0023597447848783945	2	ciliary transition fiber	6.049201807793066
0005576	0.4025406326562404	9.06670148283253e-25	2	extracellular region	55.360018800206376
0016010	5.947850989630245	2.972996815212452e-06	3	dystrophin-associated glycoprotein complex	12.725940085185869
0004888	0.5027577370931263	1.6056201239164565e-26	3	transmembrane signaling receptor activity	59.39370236584349
0042026	3.581080837892312	8.142286696245092e-05	3	protein refolding	9.415854403492041
0016740	2.0656143100459285	3.967231654786381e-26	2	transferase activity	58.48914388255881
0031295	2.4629434791276106	0.001972742802055336	3	T cell costimulation	6.22833041925546
0030030	1.0640148416259678	0.008806903364127745	3	cell projection organization	4.732219391839913
0042995	1.1823229539818132	0.005973159874255042	2	cell projection	5.120479199433295
0016477	0.9861399038185197	0.0022996940748695053	3	cell migration	6.074979175820073
0005871	3.5007054252793	1.0576443837287353e-06	3	kinesin complex	13.759466402268952
0042605	3.5681502246812205	0.0039370741007768795	3	peptide antigen binding	5.537317445562691
0016787	0.14970432780365273	1.1032195476172657e-07	2	hydrolase activity	16.01986288460342
0000445	5.616184744210389	0.00845556694123999	3	THO complex part of transcription export complex	4.7729302449186415
0098609	0.698717478930011	3.929041509042069e-06	3	cell-cell adhesion	12.4471150526583
0007017	2.324035051304497	4.1714486626680855e-06	2	microtubule-based process	12.387247181363916
0001786	0.12249880473538863	0.008120781104087295	3	phosphatidylserine binding	4.813328934350359
0036038	5.1847079902562765	0.00029600076958482456	2	MKS complex	8.125148503694861
0000242	3.032892360838502	0.008806903364127745	2	pericentriolar material	4.732219391839913
0050896	0.41462778377159787	9.251982868865305e-17	1	response to stimulus	36.91910868814551
0000166	0.571019898566762	0.005372173456214645	3	nucleotide binding	5.226522711897031
0005975	0.1151450987653824	2.557387601502562e-05	3	carbohydrate metabolic process	10.57393919567395
0010997	5.054659287172241	0.005517095518072242	3	anaphase-promoting complex binding	5.199903731433663
0007099	3.9647151192327232	0.0013370896694959418	3	centriole replication	6.617259915425447
0005847	5.2959269132552915	0.0001294696594544859	3	mRNA cleavage and polyadenylation specificity factor complex	8.952063994201604
0070064	3.369968594608741	0.0033040755161258665	3	proline-rich region binding	5.7125985676143
0009986	0.6375087783535269	0.0007248793518624056	2	cell surface	7.229505328181752
0045061	2.2462649467542324	0.005191798837400759	3	thymic T cell selection	5.260675045053448
0006914	0.8493564681467405	0.0035366991076871018	3	autophagy	5.644561442299101
0000974	6.127429754229022	0.00011672551394424463	2	Prp19 complex	9.055685414082102
0043021	2.527490970477387	0.0021371653019007504	3	ribonucleoprotein complex binding	6.14827495331998
0008307	2.483221152918941	0.005950080065178918	2	structural constituent of muscle	5.124350603182543
0004672	1.179436296975252	0.0035366991076871018	3	protein kinase activity	5.644561442299101
0023051	6.738847170255632	6.306733335692139e-14	3	regulation of signaling	30.39457345581835
0035556	1.3447154600817286	7.516437836176332e-16	3	intracellular signal transduction	34.824269154168306
0042277	0.3963465596616227	0.0039370741007768795	3	peptide binding	5.537317445562691
0030155	2.604301066313212	0.0016770395751836262	3	regulation of cell adhesion	6.390725197621882
0044770	4.49283022817668	1.4358201785143762e-25	3	cell cycle phase transition	57.202891085942056
0005839	6.741701570680628	1.6902964149592534e-08	2	proteasome core complex	17.895776836930004
0007018	2.7500985403622704	1.5469821534728745e-05	3	microtubule-based movement	11.076619429662472
0005681	4.414005117859233	2.4944849930614093e-22	3	spliceosomal complex	49.742789753578805
0008092	0.6550879281919766	0.0003061784944923887	3	cytoskeletal protein binding	8.091342310739549
0045058	4.492647443612957	0.005191798837400759	2	T cell selection	5.260675045053448
0002504	6.738847170255632	2.099004598415349e-32	3	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	72.94125974420855
0000923	6.7394478607876485	0.0051574167616002635	3	equatorial microtubule organizing center	5.267319452441349
0008023	0.612588547043516	0.0014932243332953605	2	transcription elongation factor complex	6.506817514984189
0038023	0.2680536394756043	1.6056201239164565e-26	2	signaling receptor activity	59.39370236584349
0000813	6.06602025594724	0.0002716207667609533	3	ESCRT I complex	8.21110370437446
0120115	6.739748253212258	0.0008961705625938317	3	Lsm2-8 complex	7.017379803067758
0031012	0.24488547148444562	1.5695103759240698e-06	2	extracellular matrix	13.364746849712015
0019787	2.246297556125386	3.967231654786381e-26	3	ubiquitin-like protein transferase activity	58.48914388255881
0030048	1.064009816518689	4.978718192005613e-10	3	actin filament-based movement	21.420678463198218
0007166	0.6183380130044399	5.66292096462847e-20	3	cell surface receptor signaling pathway	44.317762029295785
0035019	2.246917458572214	0.0027799381071433003	3	somatic stem cell population maintenance	5.8853266151449475
0007186	0.19884569295990445	3.0006395758945716e-25	3	G protein-coupled receptor signaling pathway	56.46580186694035
0006413	0.11714853233281836	2.4648937279786663e-05	3	translational initiation	10.61077677078682
0000981	0.580483587137862	1.27366359758184e-06	3	DNA-binding transcription factor activity, RNA polymerase II-specific	13.573613087815769
0030234	1.3477667006829421	2.1569040609597793e-05	2	enzyme regulator activity	10.744251576549706
0009987	4.492647443612957	3.339811015355568e-57	1	cellular process	130.04143607750171
0048002	3.369410502629582	2.099004598415349e-32	3	antigen processing and presentation of peptide antigen	72.94125974420855
0007165	0.7292885956221844	3.0006395758945716e-25	2	signal transduction	56.46580186694035
0043235	0.7195052147802178	0.00845556694123999	2	receptor complex	4.7729302449186415
0008104	1.2001099992076327	0.000759690388811444	3	protein localization	7.18259959082979
0051653	1.3477485020539521	0.002910406302793508	3	spindle localization	5.839462584592018
0030246	0.11955273165246173	2.810988951914779e-07	2	carbohydrate binding	15.08455928934589
0005762	0.12249880473538863	0.008120781104087295	3	mitochondrial large ribosomal subunit	4.813328934350359
0006325	0.6487921061585573	0.000635030485035219	3	chromatin organization	7.361837552294448
0019538	2.6955675336229	3.111760391981064e-52	3	protein metabolic process	118.59923622720318
0009888	1.950949142596605	0.00819967630447506	3	tissue development	4.803660600555108
0036064	1.8086413011195868	0.003898317942499185	3	ciliary basal body	5.547210115676831
0048870	1.2479392908543765	0.0022996940748695053	2	cell motility	6.074979175820073
0005849	4.49283022817668	0.0001294696594544859	2	mRNA cleavage factor complex	8.952063994201604
0070652	6.739898461216372	0.00037912661010317103	3	HAUS complex	7.87764034507191
0030522	1.1231193908788821	0.0007471057078491557	3	intracellular receptor signaling pathway	7.199303873004802
0050877	0.1321086062829852	3.980899927783574e-07	3	nervous system process	14.736587744713118
0016593	5.897256823594065	0.0014932243332953605	3	Cdc73/Paf1 complex	6.506817514984189
0005875	1.3477940021981474	1.0576443837287353e-06	2	microtubule associated complex	13.759466402268952
0016604	1.0686840235801438	1.7626254653534933e-11	2	nuclear body	24.761631583747654
0019899	1.4255770685561489	1.0398783153219873e-11	3	enzyme binding	25.28933232112487
0016491	0.12028784118179167	3.615464452049883e-05	2	oxidoreductase activity	10.227705138483639
0005102	0.6464612579100834	0.00010452711827450256	3	signaling receptor binding	9.16606401520585
0019882	1.064009816518689	2.099004598415349e-32	2	antigen processing and presentation	72.94125974420855
0007283	0.6448598833866028	0.009945957839594068	3	spermatogenesis	4.610589057629394
0031225	0.20414047056640666	0.0009627686839605778	3	anchored component of membrane	6.945697378591217
0020037	0.10524531961379455	5.278447424161361e-06	3	heme binding	12.151878551941115
0044877	1.1401701700223053	0.0020964718557738068	2	protein-containing complex binding	6.167499415830015
0002376	1.9822267038194499	2.099004598415349e-32	1	immune system process	72.94125974420855
0000278	2.038340024229755	0.00029630062131057893	3	mitotic cell cycle	8.12413600648996
0061024	2.0587254427600876	0.00013181311126690565	3	membrane organization	8.93412546233893
0009055	0.09103969088531741	0.0007791549136857601	3	electron transfer activity	7.157300669622973
0005539	0.5390716416348318	0.007856634334320387	3	glycosaminoglycan binding	4.846396965985975
0006996	1.1231226123816003	1.4757251906632336e-07	3	organelle organization	15.728946127302164
1990904	1.5359040966194337	2.4944849930614093e-22	2	ribonucleoprotein complex	49.742789753578805
0008540	6.74034913240336	2.9757353100873576e-05	2	proteasome regulatory particle, base subcomplex	10.422434293457817
0019904	1.7210693288301175	9.364060326883452e-05	3	protein domain specific binding	9.276046472935635
0005869	6.739748253212258	0.0008961705625938317	3	dynactin complex	7.017379803067758
0019773	6.739898461216372	0.00037912661010317103	2	proteasome core complex, alpha-subunit complex	7.87764034507191
0071013	5.596365500769707	2.4944849930614093e-22	3	catalytic step 2 spliceosome	49.742789753578805
0030618	6.7394478607876485	0.0051574167616002635	3	transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	5.267319452441349
0019774	6.74034913240336	2.9757353100873576e-05	2	proteasome core complex, beta-subunit complex	10.422434293457817
0030119	0.9626700257538322	0.005517095518072242	3	AP-type membrane coat adaptor complex	5.199903731433663
0022624	6.740950137416569	1.0526109438248317e-06	2	proteasome accessory complex	13.764236867135281
0007051	2.1059875049064503	4.1714486626680855e-06	3	spindle organization	12.387247181363916
0005813	2.4190709814526357	9.219674273764823e-20	3	centrosome	43.830362151161545
