	OddRatio	p-value	depth	go_descr	score
0006622	17.116666666666667	0.10894033922112291	6	protein targeting to lysosome	-1.0
0010768	17.116666666666667	0.10894033922112291	6	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	-1.0
0035255	17.116666666666667	0.10894033922112291	5	ionotropic glutamate receptor binding	-1.0
0050847	8.55	0.1589446072132881	5	progesterone receptor signaling pathway	-1.0
0002250	8.55	0.1589446072132881	3	adaptive immune response	-1.0
0005829	0.5952380952380952	0.1589446072132881	2	cytosol	-1.0
0070064	2.838888888888889	0.33279752430988896	3	proline-rich region binding	-1.0
0050816	8.55	0.1589446072132881	5	phosphothreonine residue binding	-1.0
0000785	17.116666666666667	0.10894033922112291	2	chromatin	-1.0
1901016	5.694444444444445	0.20618620846541436	6	regulation of potassium ion transmembrane transporter activity	-1.0
0031698	17.116666666666667	0.10894033922112291	6	beta-2 adrenergic receptor binding	-1.0
0061630	1.887037037037037	0.43949300514428075	5	ubiquitin protein ligase activity	-1.0
0005794	5.694444444444445	0.20618620846541436	5	Golgi apparatus	-1.0
0005938	17.116666666666667	0.10894033922112291	3	cell cortex	-1.0
0042110	17.116666666666667	0.10894033922112291	4	T cell activation	-1.0
0005886	1.207142857142857	0.5812345642861858	3	plasma membrane	-1.0
0051592	17.116666666666667	0.10894033922112291	5	response to calcium ion	-1.0
0042391	5.694444444444445	0.20618620846541436	3	regulation of membrane potential	-1.0
0048471	4.266666666666667	0.25081537093866546	2	perinuclear region of cytoplasm	-1.0
0042921	17.116666666666667	0.10894033922112291	6	glucocorticoid receptor signaling pathway	-1.0
0019089	17.116666666666667	0.10894033922112291	5	transmission of virus	-1.0
0003197	17.116666666666667	0.10894033922112291	5	endocardial cushion development	-1.0
0034644	17.116666666666667	0.10894033922112291	6	cellular response to UV	-1.0
0048814	3.41	0.2929742845669663	7	regulation of dendrite morphogenesis	-1.0
0032801	8.55	0.1589446072132881	4	receptor catabolic process	-1.0
0050815	8.55	0.1589446072132881	5	phosphoserine residue binding	-1.0
0006513	8.55	0.1589446072132881	9	protein monoubiquitination	-1.0
0070062	1.887037037037037	0.43949300514428075	5	extracellular exosome	-1.0
0043197	4.266666666666667	0.25081537093866546	3	dendritic spine	-1.0
0031623	17.116666666666667	0.10894033922112291	5	receptor internalization	-1.0
0014068	17.116666666666667	0.10894033922112291	7	positive regulation of phosphatidylinositol 3-kinase signaling	-1.0
0006511	1.6966666666666668	0.10894033922112291	7	ubiquitin-dependent protein catabolic process	-1.0
0031175	8.55	0.1589446072132881	5	neuron projection development	-1.0
0000151	4.266666666666667	0.25081537093866546	4	ubiquitin ligase complex	-1.0
0016241	17.116666666666667	0.10894033922112291	7	regulation of macroautophagy	-1.0
0003151	17.116666666666667	0.10894033922112291	3	outflow tract morphogenesis	-1.0
0070534	5.694444444444445	0.20618620846541436	10	protein K63-linked ubiquitination	-1.0
0099524	8.55	0.1589446072132881	4	postsynaptic cytosol	-1.0
0046824	17.116666666666667	0.10894033922112291	6	positive regulation of nucleocytoplasmic transport	-1.0
0007041	17.116666666666667	0.10894033922112291	5	lysosomal transport	-1.0
0019899	8.55	0.10894033922112291	3	enzyme binding	-1.0
0070063	17.116666666666667	0.10894033922112291	4	RNA polymerase binding	-1.0
0000209	1.887037037037037	0.20618620846541436	9	protein polyubiquitination	-1.0
0050807	17.116666666666667	0.10894033922112291	5	regulation of synapse organization	-1.0
0034765	5.694444444444445	0.20618620846541436	6	regulation of ion transmembrane transport	-1.0
0045732	1.887037037037037	0.43949300514428075	6	positive regulation of protein catabolic process	-1.0
0043130	17.116666666666667	0.10894033922112291	4	ubiquitin binding	-1.0
0016327	17.116666666666667	0.10894033922112291	4	apicolateral plasma membrane	-1.0
0030948	17.116666666666667	0.10894033922112291	6	negative regulation of vascular endothelial growth factor receptor signaling pathway	-1.0
0019871	8.55	0.1589446072132881	4	sodium channel inhibitor activity	-1.0
0016567	1.540909090909091	0.1589446072132881	8	protein ubiquitination	-1.0
0044111	17.116666666666667	0.10894033922112291	2	development involved in symbiotic interaction	-1.0
0005737	0.5741379310344827	0.10894033922112291	2	cytoplasm	-1.0
0010766	17.116666666666667	0.10894033922112291	6	negative regulation of sodium ion transport	-1.0
0019904	17.116666666666667	0.10894033922112291	3	protein domain specific binding	-1.0
0048514	17.116666666666667	0.10894033922112291	4	blood vessel morphogenesis	-1.0
0007528	8.55	0.1589446072132881	4	neuromuscular junction development	-1.0
2000650	4.266666666666667	0.25081537093866546	6	negative regulation of sodium ion transmembrane transporter activity	-1.0
0098978	2.838888888888889	0.33279752430988896	3	glutamatergic synapse	-1.0
0043162	17.116666666666667	0.10894033922112291	8	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	-1.0
0043161	1.887037037037037	0.43949300514428075	6	proteasome-mediated ubiquitin-dependent protein catabolic process	-1.0
