	OddRatio	p-value	depth	go_descr	score
0030071	48.904761904761905	0.04148531481231039	7	regulation of mitotic metaphase/anaphase transition	-1.0
0005829	1.7006802721088434	0.46340110870141493	2	cytosol	-1.0
0016567	9.245454545454546	0.020567316821328608	8	protein ubiquitination	-1.0
0072686	48.904761904761905	0.04148531481231039	6	mitotic spindle	-1.0
0045732	11.322222222222223	0.020567316821328608	6	positive regulation of protein catabolic process	-1.0
0061630	11.322222222222223	0.020567316821328608	5	ubiquitin protein ligase activity	-1.0
0005737	3.4448275862068964	0.13523395820763015	2	cytoplasm	-1.0
0006511	10.18	0.020567316821328608	7	ubiquitin-dependent protein catabolic process	-1.0
0043161	11.322222222222223	0.020567316821328608	6	proteasome-mediated ubiquitin-dependent protein catabolic process	-1.0
0090090	24.428571428571427	0.06160680629524587	7	negative regulation of canonical Wnt signaling pathway	-1.0
2000650	25.6	0.005977994778619101	6	negative regulation of sodium ion transmembrane transporter activity	-1.0
0000209	11.322222222222223	0.020567316821328608	9	protein polyubiquitination	-1.0
0048814	20.46	0.008263102836594855	7	regulation of dendrite morphogenesis	-1.0
