	OddRatio	p-value	depth	go_descr	score
0045211	8.333333333333334	0.1482000124048114	5	postsynaptic membrane	-1.0
0030426	12.512195121951219	0.11329698852292817	3	growth cone	-1.0
0019901	25.048780487804876	0.07699920442735082	5	protein kinase binding	-1.0
0046872	12.512195121951219	0.11329698852292817	4	metal ion binding	-1.0
0005730	12.512195121951219	0.11329698852292817	5	nucleolus	-1.0
0090502	25.048780487804876	0.07699920442735082	7	RNA phosphodiester bond hydrolysis, endonucleolytic	-1.0
0030175	12.512195121951219	0.11329698852292817	5	filopodium	-1.0
0005654	2.286363636363636	0.2420240814798571	2	nucleoplasm	-1.0
0014894	25.048780487804876	0.07699920442735082	4	response to denervation involved in regulation of muscle adaptation	-1.0
0031053	25.048780487804876	0.07699920442735082	8	primary miRNA processing	-1.0
0070878	25.048780487804876	0.07699920442735082	5	primary miRNA binding	-1.0
0032991	3.557491289198606	0.07699920442735082	1	protein-containing complex	-1.0
0030054	4.990243902439024	0.21402920786297797	2	cell junction	-1.0
0030864	25.048780487804876	0.07699920442735082	7	cortical actin cytoskeleton	-1.0
0070877	25.048780487804876	0.07699920442735082	6	microprocessor complex	-1.0
0005634	0.9399624765478424	1.0	5	nucleus	-1.0
0005886	1.7665505226480835	0.11329698852292817	3	plasma membrane	-1.0
0051015	25.048780487804876	0.07699920442735082	3	actin filament binding	-1.0
0042383	12.512195121951219	0.11329698852292817	4	sarcolemma	-1.0
0031594	25.048780487804876	0.07699920442735082	3	neuromuscular junction	-1.0
0031527	12.512195121951219	0.11329698852292817	5	filopodium membrane	-1.0
0003779	12.512195121951219	0.07699920442735082	4	actin binding	-1.0
0008270	8.333333333333334	0.1482000124048114	6	zinc ion binding	-1.0
0017166	12.512195121951219	0.11329698852292817	4	vinculin binding	-1.0
0001954	25.048780487804876	0.07699920442735082	6	positive regulation of cell-matrix adhesion	-1.0
0016010	12.512195121951219	0.11329698852292817	3	dystrophin-associated glycoprotein complex	-1.0
0005178	25.048780487804876	0.07699920442735082	3	integrin binding	-1.0
0003725	25.048780487804876	0.07699920442735082	5	double-stranded RNA binding	-1.0
0007517	12.512195121951219	0.11329698852292817	4	muscle organ development	-1.0
0020037	25.048780487804876	0.07699920442735082	3	heme binding	-1.0
0005856	4.990243902439024	0.07699920442735082	5	cytoskeleton	-1.0
0042803	12.512195121951219	0.11329698852292817	4	protein homodimerization activity	-1.0
2000649	25.048780487804876	0.07699920442735082	6	regulation of sodium ion transmembrane transporter activity	-1.0
0006936	25.048780487804876	0.07699920442735082	4	muscle contraction	-1.0
0042802	6.2439024390243905	0.11329698852292817	3	identical protein binding	-1.0
0070062	2.761517615176152	0.33112862880718963	5	extracellular exosome	-1.0
0005737	1.7224137931034482	0.3459320118832643	2	cytoplasm	-1.0
0016020	3.1097560975609757	0.11329698852292817	2	membrane	-1.0
0007528	12.512195121951219	0.11329698852292817	4	neuromuscular junction development	-1.0
0010586	25.048780487804876	0.07699920442735082	7	miRNA metabolic process	-1.0
