	OddRatio	p-value	depth	go_descr	score
0030900	28.52777777777778	0.06830809417914559	3	forebrain development	-1.0
0034728	28.52777777777778	0.06830809417914559	4	nucleosome organization	-1.0
0016279	28.52777777777778	0.06830809417914559	4	protein-lysine N-methyltransferase activity	-1.0
0048864	28.52777777777778	0.06830809417914559	4	stem cell development	-1.0
0060039	28.52777777777778	0.06830809417914559	5	pericardium development	-1.0
0005634	1.0705128205128205	0.6196930128546824	5	nucleus	-1.0
0051607	9.49074074074074	0.13206786680504273	3	defense response to virus	-1.0
0097198	28.52777777777778	0.06830809417914559	7	histone H3-K36 trimethylation	-1.0
0060669	28.52777777777778	0.06830809417914559	3	embryonic placenta morphogenesis	-1.0
0035987	28.52777777777778	0.06830809417914559	4	endodermal cell differentiation	-1.0
0032465	9.49074074074074	0.13206786680504273	5	regulation of cytokinesis	-1.0
0006355	5.683333333333334	0.1915743051300155	6	regulation of transcription, DNA-templated	-1.0
0001525	28.52777777777778	0.06830809417914559	3	angiogenesis	-1.0
0005654	1.27020202020202	0.5604247713036384	2	nucleoplasm	-1.0
0001763	28.52777777777778	0.06830809417914559	2	morphogenesis of a branching structure	-1.0
0018026	28.52777777777778	0.06830809417914559	6	peptidyl-lysine monomethylation	-1.0
0001843	28.52777777777778	0.06830809417914559	5	neural tube closure	-1.0
0048701	28.52777777777778	0.06830809417914559	6	embryonic cranial skeleton morphogenesis	-1.0
0010569	28.52777777777778	0.06830809417914559	7	regulation of double-strand break repair via homologous recombination	-1.0
0034340	28.52777777777778	0.06830809417914559	5	response to type I interferon	-1.0
0006368	28.52777777777778	0.06830809417914559	7	transcription elongation from RNA polymerase II promoter	-1.0
0060977	28.52777777777778	0.06830809417914559	5	coronary vasculature morphogenesis	-1.0
1905634	28.52777777777778	0.06830809417914559	6	regulation of protein localization to chromatin	-1.0
0048332	28.52777777777778	0.06830809417914559	4	mesoderm morphogenesis	-1.0
0006298	28.52777777777778	0.06830809417914559	6	mismatch repair	-1.0
0046872	14.25	0.10073763370446531	4	metal ion binding	-1.0
0046975	28.52777777777778	0.06830809417914559	6	histone methyltransferase activity (H3-K36 specific)	-1.0
0043014	28.52777777777778	0.06830809417914559	5	alpha-tubulin binding	-1.0
0035441	28.52777777777778	0.06830809417914559	4	cell migration involved in vasculogenesis	-1.0
1902850	28.52777777777778	0.06830809417914559	4	microtubule cytoskeleton organization involved in mitosis	-1.0
0048863	28.52777777777778	0.06830809417914559	4	stem cell differentiation	-1.0
0018023	28.52777777777778	0.06830809417914559	6	peptidyl-lysine trimethylation	-1.0
0005694	28.52777777777778	0.06830809417914559	5	chromosome	-1.0
0097676	28.52777777777778	0.06830809417914559	7	histone H3-K36 dimethylation	-1.0
0018024	28.52777777777778	0.06830809417914559	5	histone-lysine N-methyltransferase activity	-1.0
0032727	28.52777777777778	0.06830809417914559	7	positive regulation of interferon-alpha production	-1.0
0010793	28.52777777777778	0.06830809417914559	6	regulation of mRNA export from nucleus	-1.0
