	OddRatio	p-value	depth	go_descr	score
0014069	9.846153846153847	0.12179714726743375	4	postsynaptic density	-1.0
0000281	39.5	0.05055352212745389	4	mitotic cytokinesis	-1.0
0007032	39.5	0.05055352212745389	5	endosome organization	-1.0
0043197	9.846153846153847	0.12179714726743375	3	dendritic spine	-1.0
0005634	1.482248520710059	0.5078051484762779	5	nucleus	-1.0
0005737	1.3249336870026525	0.5456131930234641	2	cytoplasm	-1.0
0005829	1.3736263736263736	0.5333324685098629	2	cytosol	-1.0
0071108	39.5	0.05055352212745389	7	protein K48-linked deubiquitination	-1.0
0016579	19.73076923076923	0.05055352212745389	6	protein deubiquitination	-1.0
0099576	39.5	0.05055352212745389	6	regulation of protein catabolic process at postsynapse, modulating synaptic transmission	-1.0
0006511	3.9153846153846152	0.24915806141996555	7	ubiquitin-dependent protein catabolic process	-1.0
0071549	39.5	0.05055352212745389	5	cellular response to dexamethasone stimulus	-1.0
0004843	39.5	0.05055352212745389	5	thiol-dependent ubiquitin-specific protease activity	-1.0
0032880	39.5	0.05055352212745389	4	regulation of protein localization	-1.0
0017124	19.73076923076923	0.0748983036114216	4	SH3 domain binding	-1.0
0030496	19.73076923076923	0.0748983036114216	2	midbody	-1.0
0004197	39.5	0.05055352212745389	6	cysteine-type endopeptidase activity	-1.0
0007265	39.5	0.05055352212745389	5	Ras protein signal transduction	-1.0
1990090	19.73076923076923	0.0748983036114216	4	cellular response to nerve growth factor stimulus	-1.0
0045296	19.73076923076923	0.0748983036114216	4	cadherin binding	-1.0
0019897	39.5	0.05055352212745389	3	extrinsic component of plasma membrane	-1.0
0005769	39.5	0.05055352212745389	7	early endosome	-1.0
0070536	39.5	0.05055352212745389	7	protein K63-linked deubiquitination	-1.0
0031647	13.14102564102564	0.09864140798638536	3	regulation of protein stability	-1.0
0098978	6.551282051282051	0.16640215012140158	3	glutamatergic synapse	-1.0
0031313	39.5	0.05055352212745389	4	extrinsic component of endosome membrane	-1.0
0090263	9.846153846153847	0.12179714726743375	7	positive regulation of canonical Wnt signaling pathway	-1.0
