	OddRatio	p-value	depth	go_descr	score
0070534	5.427777777777778	0.21486341232949155	10	protein K63-linked ubiquitination	-1.0
0016327	16.316666666666666	0.11381437966471886	4	apicolateral plasma membrane	-1.0
0048514	16.316666666666666	0.11381437966471886	4	blood vessel morphogenesis	-1.0
0035255	16.316666666666666	0.11381437966471886	5	ionotropic glutamate receptor binding	-1.0
0051592	16.316666666666666	0.11381437966471886	5	response to calcium ion	-1.0
0070062	1.798148148148148	0.45477278900509743	5	extracellular exosome	-1.0
0043161	1.798148148148148	0.45477278900509743	6	proteasome-mediated ubiquitin-dependent protein catabolic process	-1.0
0010768	16.316666666666666	0.11381437966471886	6	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	-1.0
0007528	8.15	0.16584260184024352	4	neuromuscular junction development	-1.0
0031175	8.15	0.16584260184024352	5	neuron projection development	-1.0
0000151	4.066666666666666	0.2610479174868824	4	ubiquitin ligase complex	-1.0
0016567	1.4681818181818183	0.16584260184024352	8	protein ubiquitination	-1.0
0032801	8.15	0.16584260184024352	4	receptor catabolic process	-1.0
0061630	1.798148148148148	0.45477278900509743	5	ubiquitin protein ligase activity	-1.0
0050815	8.15	0.16584260184024352	5	phosphoserine residue binding	-1.0
0042391	5.427777777777778	0.21486341232949155	3	regulation of membrane potential	-1.0
0006511	1.798148148148148	0.11381437966471886	7	ubiquitin-dependent protein catabolic process	-1.0
0099524	8.15	0.16584260184024352	4	postsynaptic cytosol	-1.0
0046824	16.316666666666666	0.11381437966471886	6	positive regulation of nucleocytoplasmic transport	-1.0
0044111	16.316666666666666	0.11381437966471886	2	development involved in symbiotic interaction	-1.0
0043130	16.316666666666666	0.11381437966471886	4	ubiquitin binding	-1.0
0031698	16.316666666666666	0.11381437966471886	6	beta-2 adrenergic receptor binding	-1.0
0005938	16.316666666666666	0.11381437966471886	3	cell cortex	-1.0
0003197	16.316666666666666	0.11381437966471886	5	endocardial cushion development	-1.0
0019871	8.15	0.16584260184024352	4	sodium channel inhibitor activity	-1.0
0034765	5.427777777777778	0.21486341232949155	6	regulation of ion transmembrane transport	-1.0
0070064	2.7055555555555557	0.34554506821219044	3	proline-rich region binding	-1.0
0016241	16.316666666666666	0.11381437966471886	7	regulation of macroautophagy	-1.0
0034644	16.316666666666666	0.11381437966471886	6	cellular response to UV	-1.0
0014068	16.316666666666666	0.11381437966471886	7	positive regulation of phosphatidylinositol 3-kinase signaling	-1.0
0000209	1.798148148148148	0.21486341232949155	9	protein polyubiquitination	-1.0
0045732	1.798148148148148	0.45477278900509743	6	positive regulation of protein catabolic process	-1.0
0003151	16.316666666666666	0.11381437966471886	3	outflow tract morphogenesis	-1.0
0042921	16.316666666666666	0.11381437966471886	6	glucocorticoid receptor signaling pathway	-1.0
0007041	16.316666666666666	0.11381437966471886	5	lysosomal transport	-1.0
0005829	0.5882716049382716	0.16584260184024352	2	cytosol	-1.0
0030948	16.316666666666666	0.11381437966471886	6	negative regulation of vascular endothelial growth factor receptor signaling pathway	-1.0
0050807	16.316666666666666	0.11381437966471886	5	regulation of synapse organization	-1.0
0019904	16.316666666666666	0.11381437966471886	3	protein domain specific binding	-1.0
0002250	8.15	0.16584260184024352	3	adaptive immune response	-1.0
0005886	1.15	0.598322811638862	3	plasma membrane	-1.0
0050816	8.15	0.16584260184024352	5	phosphothreonine residue binding	-1.0
0098978	3.25	0.30455764435287996	3	glutamatergic synapse	-1.0
0070063	16.316666666666666	0.11381437966471886	4	RNA polymerase binding	-1.0
0019899	8.15	0.11381437966471886	3	enzyme binding	-1.0
0043162	16.316666666666666	0.11381437966471886	8	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	-1.0
0048471	4.066666666666666	0.2610479174868824	2	perinuclear region of cytoplasm	-1.0
1901016	5.427777777777778	0.21486341232949155	6	regulation of potassium ion transmembrane transporter activity	-1.0
0005737	0.5882716049382716	0.11381437966471886	2	cytoplasm	-1.0
0050847	8.15	0.16584260184024352	5	progesterone receptor signaling pathway	-1.0
0000785	16.316666666666666	0.11381437966471886	2	chromatin	-1.0
0048814	3.25	0.30455764435287996	7	regulation of dendrite morphogenesis	-1.0
0031623	16.316666666666666	0.11381437966471886	5	receptor internalization	-1.0
0042110	16.316666666666666	0.11381437966471886	4	T cell activation	-1.0
0010766	16.316666666666666	0.11381437966471886	6	negative regulation of sodium ion transport	-1.0
2000650	4.066666666666666	0.2610479174868824	6	negative regulation of sodium ion transmembrane transporter activity	-1.0
0005794	5.427777777777778	0.21486341232949155	5	Golgi apparatus	-1.0
0043197	5.427777777777778	0.21486341232949155	3	dendritic spine	-1.0
0006513	8.15	0.16584260184024352	9	protein monoubiquitination	-1.0
0006622	16.316666666666666	0.11381437966471886	6	protein targeting to lysosome	-1.0
0019089	16.316666666666666	0.11381437966471886	5	transmission of virus	-1.0
