	OddRatio	p-value	depth	go_descr	score
0048037	48.51917989417989	0.014669333728812656	2	cofactor binding	4.221996105117492
0061024	7.300029868578256	0.0029511547143893473	3	membrane organization	5.825558756612042
0061753	679.3287037037037	0.0029511547143893473	4	substrate localization to autophagosome	5.825558756612042
0035329	33.962037037037035	0.03055830601889524	4	hippo signaling	3.4881187475390627
0003713	8.52186046511628	0.024249293578025702	3	transcription coactivator activity	3.7193677928260187
0032991	3.3946529026271532	0.0005476320742997116	1	protein-containing complex	7.509906893767635
0017145	169.8287037037037	0.007361639780463247	3	stem cell division	4.911472574798159
0005518	21.909348864994026	0.04619222205000459	3	collagen binding	3.0749438489635565
0030617	679.3287037037037	0.0029511547143893473	3	transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity	5.825558756612042
0008202	23.42065772669221	0.04336847840352225	4	steroid metabolic process	3.138022405828666
0030154	3.8334118016321406	0.0036310660179285897	3	cell differentiation	5.618229004966783
0050662	75.47685185185185	0.014669333728812656	3	coenzyme binding	4.221996105117492
0005667	19.957308774158424	0.0005476320742997116	2	transcription factor complex	7.509906893767635
0007165	2.4906721185790954	5.913030567559661e-05	2	signal transduction	9.73576697859312
0007398	113.2175925925926	0.010291168757996707	4	ectoderm development	4.576469153662239
0097191	20.581228956228955	0.04900766901195145	4	extrinsic apoptotic signaling pathway	3.015778482670004
0001649	23.524939855653567	0.0036310660179285897	4	osteoblast differentiation	5.618229004966783
0003015	169.8287037037037	0.007361639780463247	4	heart process	4.911472574798159
0032835	113.2175925925926	0.010291168757996707	3	glomerulus development	4.576469153662239
0070412	42.4537037037037	0.02481022493450967	4	R-SMAD binding	3.6964994150353796
0034616	135.86203703703703	0.008827481601761026	4	response to laminar fluid shear stress	4.729885514359767
0030618	135.86203703703703	0.008827481601761026	3	transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	4.729885514359767
0070411	257.11682242990656	5.194138062864236e-07	4	I-SMAD binding	14.470564956849582
0060412	30.87415824915825	0.033419687036517626	4	ventricular septum morphogenesis	3.398610120415361
0048762	113.2175925925926	0.010291168757996707	4	mesenchymal cell differentiation	4.576469153662239
0071560	37.906976744186046	0.0014732926545315088	4	cellular response to transforming growth factor beta stimulus	6.520255481988292
0017151	135.86203703703703	0.008827481601761026	4	DEAD/H-box RNA helicase binding	4.729885514359767
0048705	56.60648148148148	0.01902821991606859	4	skeletal system morphogenesis	3.9618321429810655
0031424	37.736111111111114	0.0276884935587092	2	keratinization	3.586738347081692
0019899	2.7127037037037036	0.008827481601761026	3	enzyme binding	4.729885514359767
0070410	75.47685185185185	0.014669333728812656	4	co-SMAD binding	4.221996105117492
0071141	113.2175925925926	0.010291168757996707	2	SMAD protein complex	4.576469153662239
0009880	52.25178062678063	0.020476912420260944	3	embryonic pattern specification	3.8884572509058173
0051219	26.123575498575498	0.03911725332169795	3	phosphoprotein binding	3.241191647893509
0060993	226.4398148148148	0.005893640133171751	4	kidney morphogenesis	5.13388145299965
0048185	113.73953488372094	0.0001952173796386567	3	activin binding	8.541396852914563
0032801	75.47685185185185	0.014669333728812656	4	receptor catabolic process	4.221996105117492
