	OddRatio	p-value	depth	go_descr	score
0030677	6.624450217340981	7.87068137363647e-05	3	ribonuclease P complex	9.449780827681707
0030681	6.625752508361204	7.87068137363647e-05	4	multimeric ribonuclease P complex	9.449780827681707
0009055	0.08949422428421373	0.0005005311988731418	3	electron transfer activity	7.599840625740897
0032870	0.2943772827820361	0.033300339891617736	4	cellular response to hormone stimulus	3.402187675092342
0008104	1.1797309475834519	0.0007862749243658365	3	protein localization	7.1482040501457575
0022624	6.626476263990737	1.2762687870538704e-06	2	proteasome accessory complex	13.571569747063544
2000145	1.599078165236575	0.0007038268721533405	4	regulation of cell motility	7.2589781522863035
0031072	1.9760968692993064	0.022967037628993433	3	heat shock protein binding	3.7736952375552693
0016050	2.0383546898620466	1.9231892586956885e-07	4	vesicle organization	15.46411077073596
0019773	6.6254630582424365	0.00042058296889972295	2	proteasome core complex, alpha-subunit complex	7.773868787907994
0010008	1.1634440199823686	0.01446523450472125	4	endosome membrane	4.23600712881395
0007219	1.7021621453136202	0.015594879389808403	4	Notch signaling pathway	4.16081266285363
0006796	0.38964933436014904	5.514947081019805e-06	4	phosphate-containing compound metabolic process	12.108048500768163
0035145	3.613660918491911	0.017302683539216428	2	exon-exon junction complex	4.056893671634155
0005654	1.2431486684745743	5.505844619578111e-07	2	nucleoplasm	14.412285464836227
0044770	4.416555201152382	4.192625409692896e-25	3	cell cycle phase transition	56.131300197716776
0022407	1.4720921858120273	0.0021507662037034657	4	regulation of cell-cell adhesion	6.141931126513065
0005663	5.2998868196316495	0.021546033138349286	2	DNA replication factor C complex	3.837563556483412
0030031	2.9813961565177123	0.009693034304910742	4	cell projection assembly	4.636347764335172
0043231	0.8959155528718585	1.5476722858740181e-19	4	intracellular membrane-bounded organelle	43.31236471576306
0045309	4.416379443387005	0.013341459233576299	4	protein phosphorylated amino acid binding	4.316878856652761
0016021	0.15600962261498674	8.737722118648217e-115	3	integral component of membrane	262.62963616577395
0035173	6.624739563237904	0.03315397736901916	4	histone kinase activity	3.406592588581519
0016939	6.624739563237904	0.03315397736901916	4	kinesin II complex	3.406592588581519
0004674	1.1261389459304438	0.0038179095413147595	4	protein serine/threonine kinase activity	5.568052246647901
0016477	0.9693869479235333	0.0023388392218346796	3	cell migration	6.058100531735528
0005838	6.625173637907085	0.002311249828877505	2	proteasome regulatory particle	6.06996684930188
0140031	6.624739563237904	0.03315397736901916	4	phosphorylation-dependent protein binding	3.406592588581519
0042752	2.524486014294538	0.0003278910958366603	3	regulation of circadian rhythm	8.022829029600828
0030239	3.8646940035500217	0.007938473887230173	4	myofibril assembly	4.836034227835481
0061952	4.677115304287816	0.0001523402903714788	4	midbody abscission	8.789393786946361
0005684	4.73212677997244	1.156322827175753e-17	4	U2-type spliceosomal complex	38.998701587372274
0016323	0.6050836658257371	0.04248037232783486	4	basolateral plasma membrane	3.1587131373073243
0007051	2.070233118971061	5.291463977823768e-06	3	spindle organization	12.149415605990605
0044304	4.416555201152382	0.0322388495175356	2	main axon	3.434583046920395
0006805	0.07277071805480458	7.001596479880477e-05	3	xenobiotic metabolic process	9.566787273364241
0009966	0.33119807608220375	1.0974649099990369e-13	4	regulation of signal transduction	29.840603316132565
0042605	3.5075657491521732	0.004357176738182285	3	peptide antigen binding	5.435930968478055
0008180	3.057689339522956	0.030143552865015206	2	COP9 signalosome	3.501784213997854
0060411	2.548008904279001	0.039753431774904306	3	cardiac septum morphogenesis	3.225059107648501
0005913	0.9181911141250491	0.008820216624183683	4	cell-cell adherens junction	4.730708848699999
0045088	1.261799420869284	1.3605909614465565e-12	4	regulation of innate immune response	27.323101980086207
0005102	0.6354786218005142	0.00010596072742855021	3	signaling receptor binding	9.152442028459864
0090559	3.3123311983949377	0.002552619215324608	3	regulation of membrane permeability	5.970635303697951
0035872	6.624450217340981	0.0008550978361326403	4	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	7.064294667348614
0044390	2.208164000205772	0.022741890009748626	4	ubiquitin-like protein conjugating enzyme binding	3.783546680228351
0007165	0.716878373291112	6.58970588179427e-26	2	signal transduction	57.981703701313975
0090575	0.5519563204198179	0.03315397736901916	4	RNA polymerase II transcription factor complex	3.406592588581519
1990904	1.6357511099291855	5.74628327216647e-22	2	ribonucleoprotein complex	48.90831878750749
0097435	1.0191249154158768	0.007938473887230173	3	supramolecular fiber organization	4.836034227835481
0030198	0.8169631417270373	0.01751699996830408	4	extracellular matrix organization	4.044583442822065
0048156	2.3558666117743927	0.006423429764702166	4	tau protein binding	5.047803072668965
0005869	6.625318344352121	0.0009815937442081578	3	dynactin complex	6.926333037643954
0006955	0.727735584878442	0.04408562073214918	2	immune response	3.1216216101941012
0050790	1.3248861794891582	0.0013473137254940452	3	regulation of catalytic activity	6.609642501846922
0009957	6.624739563237904	0.03315397736901916	4	epidermal cell fate specification	3.406592588581519
0034702	1.1040536022017027	0.010921178892557157	4	ion channel complex	4.517051357298458
0008092	0.6439656059475729	0.00035790641186762015	3	cytoskeletal protein binding	7.935239025103762
0030705	0.7793187134414443	0.013799496228982053	4	cytoskeleton-dependent intracellular transport	4.283123192631535
0048754	3.011565357719204	0.006190747214779639	4	branching morphogenesis of an epithelial tube	5.0846994863593125
0000302	1.104056278615155	0.02696479235032303	4	response to reactive oxygen species	3.6132232509337774
0017151	4.140594855305467	0.02003798790791067	4	DEAD/H-box RNA helicase binding	3.9101254116031443
0051276	0.5095493513405497	0.00308206386592038	4	chromosome organization	5.7821558200664755
0031390	3.7856040450957624	0.04551091958972916	2	Ctf18 RFC-like complex	3.089802990835403
0005813	2.377827230380363	3.1474362467936654e-19	3	centrosome	42.60252853534431
0016012	6.625173637907085	0.002311249828877505	4	sarcoglycan complex	6.06996684930188
0016236	1.7285294196632381	0.026320534862246007	4	macroautophagy	3.6374058512175935
0035019	2.2087547286342932	0.003061342353333842	3	somatic stem cell population maintenance	5.788901781648639
0002474	3.745090559667808	2.0215105253743344e-14	4	antigen processing and presentation of peptide antigen via MHC class I	31.532346285116525
0038023	0.2635024097458786	4.6205065441547244e-27	2	signaling receptor activity	60.63929317016385
0043256	3.3123311983949377	0.03315397736901916	2	laminin complex	3.406592588581519
0023051	6.624450217340981	1.0974649099990369e-13	3	regulation of signaling	29.840603316132565
0032395	5.678698211805172	0.0038179095413147595	4	MHC class II receptor activity	5.568052246647901
0032880	1.948691170794833	0.002544644816462348	4	regulation of protein localization	5.973764200030692
0006325	0.6868522616168373	0.0007031425372378466	3	chromatin organization	7.25995093103315
0007018	2.7033775169990153	1.746045543310712e-05	3	microtubule-based movement	10.955571923522612
0005865	3.312569135389602	0.01446523450472125	3	striated muscle thin filament	4.23600712881395
0097542	2.1081326048006437	0.018823519606334126	2	ciliary tip	3.9726481481582163
0008537	6.624739563237904	0.03315397736901916	2	proteasome activator complex	3.406592588581519
0031424	0.03740069690360488	5.547543189809482e-10	2	keratinization	21.312495768691534
0006508	0.7993406454911122	4.876946384619725e-25	4	proteolysis	55.98010804170022
0007275	0.26465069603478886	4.743554683363286e-11	2	multicellular organism development	23.771649235087907
0031672	3.057689339522956	0.030143552865015206	2	A band	3.501784213997854
0042277	0.38961793529820293	0.004357176738182285	3	peptide binding	5.435930968478055
0008540	6.625897244590805	3.429404561325525e-05	2	proteasome regulatory particle, base subcomplex	10.28053881614332
0002683	6.624450217340981	0.03315397736901916	4	negative regulation of immune system process	3.406592588581519
0051427	1.3248694668072738	0.03615731914877394	4	hormone receptor binding	3.3198758847913536
0008022	1.7514498604683189	0.0008130169472691118	3	protein C-terminus binding	7.114758603284264
0061684	5.678698211805172	0.0038179095413147595	4	chaperone-mediated autophagy	5.568052246647901
0043657	1.8069401073646538	0.049606215568147705	3	host cell	3.003639139228437
0050877	0.12986596423594773	2.468869243472852e-07	3	nervous system process	15.214335401303927
0045061	2.2081329252295583	0.005645205279765192	3	thymic T cell selection	5.176948717158582
0051098	6.6248842473505505	0.013341459233576299	3	regulation of binding	4.316878856652761
0050900	0.7642519965561262	0.0023388392218346796	2	leukocyte migration	6.058100531735528
0046902	0.6021993644617684	0.002552619215324608	4	regulation of mitochondrial membrane permeability	5.970635303697951
0000165	1.9568403837626047	5.514947081019805e-06	4	MAPK cascade	12.108048500768163
0017166	3.0113066354867	0.04867439293496061	4	vinculin binding	3.0226021996052297
0035869	2.4538204270645743	0.023631776133867365	2	ciliary transition zone	3.745163026246303
0009987	4.416379443387005	3.260822313362088e-56	1	cellular process	127.76278580073334
0035556	1.3218455602272194	3.820012483311039e-16	3	intracellular signal transduction	35.50110779740911
0035108	1.5287266942487252	0.03739090814350511	4	limb morphogenesis	3.2863277018819455
0004518	0.4731511319000709	3.429404561325525e-05	4	nuclease activity	10.28053881614332
0071417	3.312271721796389	0.0025751750899453267	4	cellular response to organonitrogen compound	5.961837751082795
0045059	4.2160461923793795	0.005645205279765192	4	positive thymic T cell selection	5.176948717158582
0005576	0.3956890539077073	9.152066664206078e-26	2	extracellular region	57.65323269912085
0034715	5.520836012861737	0.009012726893871744	3	pICln-Sm protein complex	4.709117601223695
0003157	6.624739563237904	0.03315397736901916	3	endocardium development	3.406592588581519
0001786	0.12041929623143131	0.008328046255937378	3	phosphatidylserine binding	4.788126393417678
0000790	0.594534657589927	2.4759636317821667e-06	3	nuclear chromatin	12.90888089154456
0071007	6.628648648648649	6.915230727149926e-12	4	U2-type catalytic step 2 spliceosome	25.697294785186262
0070848	1.7665603457145798	0.00350865180666987	4	response to growth factor	5.652523415953772
0034719	3.3126286272895658	0.009119200532326174	3	SMN-Sm protein complex	4.697373139667488
0048598	1.2044297078506656	0.021111980897002856	3	embryonic morphogenesis	3.857914584622237
0006486	0.07700306915253467	0.0001644356908027151	4	protein glycosylation	8.712991001564296
0036064	1.77791297567003	0.005873951124494214	3	ciliary basal body	5.137227766891634
0016746	0.602189132437602	0.021546033138349286	3	transferase activity, transferring acyl groups	3.837563556483412
0031982	1.304991413075523	0.0038764455850177765	4	vesicle	5.552836631546107
0042742	0.3962172676704614	0.010876946367044029	4	defense response to bacterium	4.521109741741822
0001649	1.847794483064489	0.006366355274025485	4	osteoblast differentiation	5.056728143632717
0061738	6.624739563237904	0.03315397736901916	4	late endosomal microautophagy	3.406592588581519
0000077	3.105955712080278	0.0006893519054816049	4	DNA damage checkpoint	7.2797586691789835
0048617	3.6805144694533762	0.02786734428955813	4	embryonic foregut morphogenesis	3.5802997312442972
0002764	6.624450217340981	8.605313927026612e-16	3	immune response-regulating signaling pathway	34.68898157697448
0140030	3.312212248257414	0.03315397736901916	3	modification-dependent protein binding	3.406592588581519
0033327	3.0113066354867	0.04867439293496061	3	Leydig cell differentiation	3.0226021996052297
0060412	2.208443746944866	0.039753431774904306	4	ventricular septum morphogenesis	3.225059107648501
0005861	6.6254630582424365	0.00042058296889972295	2	troponin complex	7.773868787907994
0045165	1.0815360513417138	0.002311249828877505	3	cell fate commitment	6.06996684930188
0030902	2.727966333807981	0.03028945614742016	3	hindbrain development	3.496955608959904
1901652	3.312212248257414	0.0025751750899453267	4	response to peptide	5.961837751082795
0097711	6.638081732628594	2.4359651195415357e-34	4	ciliary basal body-plasma membrane docking	77.39755013079562
0032453	2.6498070888420187	0.03315397736901916	4	histone demethylase activity (H3-K4 specific)	3.406592588581519
0008201	0.46469833119383824	0.005998595553874367	3	heparin binding	5.116229911508031
0034329	2.2082883160981632	0.02003798790791067	4	cell junction assembly	3.9101254116031443
0099524	2.727966333807981	0.03028945614742016	4	postsynaptic cytosol	3.496955608959904
0009416	0.9033069330545987	0.03315397736901916	4	response to light stimulus	3.406592588581519
0051225	3.86572608662086	5.291463977823768e-06	4	spindle assembly	12.149415605990605
0031386	4.140594855305467	0.02003798790791067	1	protein tag	3.9101254116031443
0007283	0.6691543317334713	0.01605875153360027	3	spermatogenesis	4.131501311119104
0051091	2.029967258098855	0.0007486248334538338	4	positive regulation of DNA-binding transcription factor activity	7.197272589849088
0120115	6.625318344352121	0.0009815937442081578	3	Lsm2-8 complex	6.926333037643954
0000347	5.2998868196316495	0.009012726893871744	2	THO complex	4.709117601223695
0005523	3.0917191881254342	0.0188620425364715	4	tropomyosin binding	3.970603707721883
0031090	0.4416060083849893	6.759822737001212e-20	3	organelle membrane	44.14070519250695
0071011	3.312212248257414	1.156322827175753e-17	4	precatalytic spliceosome	38.998701587372274
0044267	0.702417130464687	2.6280474040524208e-51	4	cellular protein metabolic process	116.46559860416495
0000346	3.613660918491911	0.017302683539216428	2	transcription export complex	4.056893671634155
0000813	5.963023848112989	0.0003045932170255126	3	ESCRT I complex	8.096533386216317
0006338	1.83281164950294	0.00945075636827801	4	chromatin remodeling	4.661660501708215
0044389	2.6500617410989915	2.486899147022539e-11	4	ubiquitin-like protein ligase binding	24.4173994109972
0090136	3.9750424448217316	0.012567241540334638	4	epithelial cell-cell adhesion	4.376661728327371
0008138	0.15769989674925503	0.0381100521182073	4	protein tyrosine/serine/threonine phosphatase activity	3.2672771965242964
0006997	3.312807121356351	0.0023615748552665446	4	nucleus organization	6.04842657094435
0003823	0.602189132437602	0.004357176738182285	2	antigen binding	5.435930968478055
0040012	2.208164000205772	0.0007038268721533405	3	regulation of locomotion	7.2589781522863035
0034453	2.839271933499438	0.03739090814350511	4	microtubule anchoring	3.2863277018819455
0048646	1.6561101394104636	0.007290955116028992	2	anatomical structure formation involved in morphogenesis	4.921120724255658
0099738	3.057689339522956	0.030143552865015206	4	cell cortex region	3.501784213997854
