	OddRatio	p-value	depth	go_descr	score
0016787	0.1471629199032872	1.4014622337820474e-07	2	hydrolase activity	15.780579506696872
0005815	1.3622117049232216	3.1474362467936654e-19	2	microtubule organizing center	42.60252853534431
0050896	0.4075886249772452	1.754647072582564e-16	1	response to stimulus	36.279093749453416
1990904	1.6357511099291855	5.74628327216647e-22	2	ribonucleoprotein complex	48.90831878750749
0002376	1.948569136942145	6.54812280475509e-32	1	immune system process	71.80354456193228
0016020	0.8549205642078395	3.162746629566899e-39	2	membrane	88.64937779012106
0005615	0.36780015021317014	2.4571689258295698e-23	2	extracellular space	52.06044729480599
0048856	0.3580375478106843	4.743554683363286e-11	2	anatomical structure development	23.771649235087907
0032991	1.5072853975293	5.74628327216647e-22	1	protein-containing complex	48.90831878750749
0019882	1.0459465277129083	6.54812280475509e-32	2	antigen processing and presentation	71.80354456193228
0016740	2.030532725819318	1.4463193039346043e-25	2	transferase activity	57.19560540672616
0031424	0.03740069690360488	5.547543189809482e-10	2	keratinization	21.312495768691534
0038023	0.2635024097458786	4.6205065441547244e-27	2	signaling receptor activity	60.63929317016385
0007165	0.716878373291112	6.58970588179427e-26	2	signal transduction	57.981703701313975
0005839	6.627200205867216	2.1836456898133536e-08	2	proteasome core complex	17.63968492916935
0003824	0.14398462565574127	1.4463193039346043e-25	1	catalytic activity	57.19560540672616
0016604	1.0719866783014835	2.5168646655316032e-11	2	nuclear body	24.405422076390728
0007275	0.26465069603478886	4.743554683363286e-11	2	multicellular organism development	23.771649235087907
0005576	0.3956890539077073	9.152066664206078e-26	2	extracellular region	57.65323269912085
0009987	4.416379443387005	3.260822313362088e-56	1	cellular process	127.76278580073334
