	entry_ac	go_id	go_descr
166914	Q9UPV0	0005814	centriole
166915	Q9UPV0	0005813	centrosome
166916	Q9UPV0	0097539	ciliary transition fiber
166917	Q9UPV0	0005829	cytosol
166918	Q9UPV0	0005615	extracellular space
166919	Q9UPV0	0043231	intracellular membrane-bounded organelle
166920	Q9UPV0	0005654	nucleoplasm
166921	Q9UPV0	0051301	cell division
166922	Q9UPV0	0097711	ciliary basal body-plasma membrane docking
166923	Q9UPV0	0060271	cilium assembly
166924	Q9UPV0	0006281	DNA repair
166925	Q9UPV0	0000086	G2/M transition of mitotic cell cycle
166926	Q9UPV0	0010389	regulation of G2/M transition of mitotic cell cycle
