	entry_ac	go_id	go_descr
49616	Q9HCE7	0030424	axon
49617	Q9HCE7	0005623	cell
49618	Q9HCE7	0005737	cytoplasm
49619	Q9HCE7	0005829	cytosol
49620	Q9HCE7	0070062	extracellular exosome
49621	Q9HCE7	0043025	neuronal cell body
49622	Q9HCE7	0005654	nucleoplasm
49623	Q9HCE7	0005886	plasma membrane
49624	Q9HCE7	0048185	activin binding
49625	Q9HCE7	0070411	I-SMAD binding
49626	Q9HCE7	0005543	phospholipid binding
49627	Q9HCE7	0070412	R-SMAD binding
49628	Q9HCE7	0061630	ubiquitin protein ligase activity
49629	Q9HCE7	0004842	ubiquitin-protein transferase activity
49630	Q9HCE7	0030509	BMP signaling pathway
49631	Q9HCE7	0030154	cell differentiation
49632	Q9HCE7	0007398	ectoderm development
49633	Q9HCE7	0061736	engulfment of target by autophagosome
49634	Q9HCE7	0030514	negative regulation of BMP signaling pathway
49635	Q9HCE7	0030279	negative regulation of ossification
49636	Q9HCE7	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
49637	Q9HCE7	0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
49638	Q9HCE7	1903861	positive regulation of dendrite extension
49639	Q9HCE7	0045732	positive regulation of protein catabolic process
49640	Q9HCE7	2000060	positive regulation of ubiquitin-dependent protein catabolic process
49641	Q9HCE7	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
49642	Q9HCE7	0006611	protein export from nucleus
49643	Q9HCE7	0034394	protein localization to cell surface
49644	Q9HCE7	0072659	protein localization to plasma membrane
49645	Q9HCE7	0000209	protein polyubiquitination
49646	Q9HCE7	0071211	protein targeting to vacuole involved in autophagy
49647	Q9HCE7	0016567	protein ubiquitination
49648	Q9HCE7	0032801	receptor catabolic process
49649	Q9HCE7	0061753	substrate localization to autophagosome
49650	Q9HCE7	0007179	transforming growth factor beta receptor signaling pathway
49651	Q9HCE7	0006511	ubiquitin-dependent protein catabolic process
49652	Q9HCE7	0030579	ubiquitin-dependent SMAD protein catabolic process
49653	Q9HCE7	0060071	Wnt signaling pathway, planar cell polarity pathway
64524	Q9HAU4	0005737	cytoplasm
64525	Q9HAU4	0005829	cytosol
64526	Q9HAU4	0045121	membrane raft
64527	Q9HAU4	0016607	nuclear speck
64528	Q9HAU4	0005654	nucleoplasm
64529	Q9HAU4	0005634	nucleus
64530	Q9HAU4	0005886	plasma membrane
64531	Q9HAU4	0000151	ubiquitin ligase complex
64532	Q9HAU4	0042802	identical protein binding
64533	Q9HAU4	0046332	SMAD binding
64534	Q9HAU4	0005160	transforming growth factor beta receptor binding
64535	Q9HAU4	0061630	ubiquitin protein ligase activity
64536	Q9HAU4	0004842	ubiquitin-protein transferase activity
64537	Q9HAU4	0030509	BMP signaling pathway
64538	Q9HAU4	0030514	negative regulation of BMP signaling pathway
64539	Q9HAU4	0000122	negative regulation of transcription by RNA polymerase II
64540	Q9HAU4	0045892	negative regulation of transcription, DNA-templated
64541	Q9HAU4	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
64542	Q9HAU4	0090263	positive regulation of canonical Wnt signaling pathway
64543	Q9HAU4	0045732	positive regulation of protein catabolic process
64544	Q9HAU4	1901165	positive regulation of trophoblast cell migration
64545	Q9HAU4	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
64546	Q9HAU4	0016579	protein deubiquitination
64547	Q9HAU4	0000209	protein polyubiquitination
64548	Q9HAU4	0016567	protein ubiquitination
64549	Q9HAU4	0017015	regulation of transforming growth factor beta receptor signaling pathway
64550	Q9HAU4	0006511	ubiquitin-dependent protein catabolic process
64551	Q9HAU4	0030579	ubiquitin-dependent SMAD protein catabolic process
64552	Q9HAU4	0060071	Wnt signaling pathway, planar cell polarity pathway
146293	Q9H0M0	0005737	cytoplasm
146294	Q9H0M0	0005829	cytosol
146295	Q9H0M0	0070062	extracellular exosome
146296	Q9H0M0	0005634	nucleus
146297	Q9H0M0	0005886	plasma membrane
146298	Q9H0M0	0000151	ubiquitin ligase complex
146299	Q9H0M0	0061630	ubiquitin protein ligase activity
146300	Q9H0M0	0004842	ubiquitin-protein transferase activity
146301	Q9H0M0	0007417	central nervous system development
146302	Q9H0M0	0034220	ion transmembrane transport
146303	Q9H0M0	0045892	negative regulation of transcription, DNA-templated
146304	Q9H0M0	0045732	positive regulation of protein catabolic process
146305	Q9H0M0	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
146306	Q9H0M0	0000209	protein polyubiquitination
146307	Q9H0M0	0016567	protein ubiquitination
146308	Q9H0M0	0007165	signal transduction
146309	Q9H0M0	0006511	ubiquitin-dependent protein catabolic process
146310	Q9H0M0	0046718	viral entry into host cell
161037	Q6NWY9	0016607	nuclear speck
161038	Q6NWY9	0005685	U1 snRNP
161039	Q6NWY9	0071004	U2-type prespliceosome
161040	Q6NWY9	0003723	RNA binding
161041	Q6NWY9	0045292	mRNA cis splicing, via spliceosome
161042	Q6NWY9	0000398	mRNA splicing, via spliceosome
227489	Q96QZ7	0005912	adherens junction
227490	Q96QZ7	0005923	bicellular tight junction
227491	Q96QZ7	0030054	cell junction
227492	Q96QZ7	0071944	cell periphery
227493	Q96QZ7	0042995	cell projection
227494	Q96QZ7	0005911	cell-cell junction
227495	Q96QZ7	0005737	cytoplasm
227496	Q96QZ7	0005730	nucleolus
227497	Q96QZ7	0005654	nucleoplasm
227498	Q96QZ7	0005886	plasma membrane
227499	Q96QZ7	0051393	alpha-actinin binding
227500	Q96QZ7	0005524	ATP binding
227501	Q96QZ7	0060090	molecular adaptor activity
227502	Q96QZ7	0008022	protein C-terminus binding
227503	Q96QZ7	0007155	cell adhesion
227504	Q96QZ7	0007166	cell surface receptor signaling pathway
227505	Q96QZ7	0022409	positive regulation of cell-cell adhesion
227506	Q96QZ7	0065003	protein-containing complex assembly
227507	Q96QZ7	0007165	signal transduction
