	Unnamed: 0	entry_ac	do_id	name	descr
2357	2357	O95817	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
10436	10436	Q96J02	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
13788	13788	Q96J02	8778	Crohn's disease	An intestinal disease that involves inflammation located_in intestine.
14328	14328	Q96J02	10283	prostate cancer	A male reproductive organ cancer that is located_in the prostate.
14804	14804	O95817	1909	melanoma	A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from melanocytes which are found in skin, the bowel and the eye.
16637	16637	O95817	870	neuropathy	A nervous system disease that is located_in nerves or nerve cells.
20376	20376	Q96J02	1240	leukemia	A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
22727	22727	Q96J02	9970	obesity	An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness.
26021	26021	Q96J02	8469	influenza	A viral infectious disease that results in infection, located in respiratory tract, has_material_basis_in Influenzavirus A, has_material_basis_in Influenzavirus B, or has_material_basis_in Influenzavirus C, which are transmitted by droplet spread of oronasal secretions during coughing, sneezing, or talking from an infected person. It is a highly contagious disease that affects birds and mammals and has symptom chills, has symptom fever, has symptom sore throat, has symptom runny nose, has symptom muscle pains, has symptom severe headache, has symptom cough, and has symptom weakness.
30064	30064	Q96J02	8566	herpes simplex	A viral infectious disease that results_in_formation_of lesions, located_in mouth, located_in face, located_in genitalia, or located_in hands, has_material_basis_in Human herpesvirus 1 or has_material_basis_in Human herpesvirus 2, which are transmitted_by direct contact with an active lesion or body fluid of an infected person.
30588	30588	O95817	2841	asthma	A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing. The symptoms appear due to a variety of triggers such as allergens, irritants, respiratory infections, weather changes, exercise, stress, reflux disease, medications, foods and emotional anxiety.
30868	30868	O95817	9884	muscular dystrophy	A myopathy is characterized by progressive skeletal muscle weakness degeneration.
32398	32398	O95817	0080307	myofibrillar myopathy	A myopathy that is characterized by slowly progressive muscle weakness that can involve both proximal muscles and distal muscles.
33509	33509	Q96J02	0050886	Troyer syndrome	A hereditary spastic paraplegia that is characterized by spasticity of the leg muscles, progressive muscle weakness, paraplegia, muscle wasting in the hands and feet (distal amyotrophy), small stature, developmental delay, learning disorders, speech difficulties (dysarthria), and mood swings, and has_material_basis_in a mutation of the SPG20 gene.
37437	37437	O95817	423	myopathy	A muscular disease in which the muscle fibers do not function resulting in muscular weakness.
41114	41114	O95817	0050700	cardiomyopathy	A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
44539	44539	O95817	7319	axonal neuropathy	
