	entry_ac	go_id	go_descr	architecture
0	Q9BTA9	0016607	nuclear speck	PF00397
1	Q9BTA9	0005654	nucleoplasm	PF00397
2	Q9BTA9	0005634	nucleus	PF00397
3	Q9BTA9	0005681	spliceosomal complex	PF00397
4	Q9BTA9	0003682	chromatin binding	PF00397
5	Q9BTA9	0000993	RNA polymerase II complex binding	PF00397
6	Q9BTA9	0006974	cellular response to DNA damage stimulus	PF00397
7	Q9BTA9	0044783	G1 DNA damage checkpoint	PF00397
8	Q9BTA9	0071894	histone H2B conserved C-terminal lysine ubiquitination	PF00397
9	Q9BTA9	0010390	histone monoubiquitination	PF00397
10	Q9BTA9	0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	PF00397
11	Q9BTA9	0016239	positive regulation of macroautophagy	PF00397
12	Q9BTA9	0045893	positive regulation of transcription, DNA-templated	PF00397
13	Q9BTA9	0016567	protein ubiquitination	PF00397
14	Q9NZC7	0005737	cytoplasm	PF00106;PF00397
15	Q9NZC7	0005829	cytosol	PF00106;PF00397
16	Q9NZC7	0005794	Golgi apparatus	PF00106;PF00397
17	Q9NZC7	0005739	mitochondrion	PF00106;PF00397
18	Q9NZC7	0005654	nucleoplasm	PF00106;PF00397
19	Q9NZC7	0005634	nucleus	PF00106;PF00397
20	Q9NZC7	0090575	RNA polymerase II transcription factor complex	PF00106;PF00397
21	Q9NZC7	0050662	coenzyme binding	PF00106;PF00397
22	Q9NZC7	0048037	cofactor binding	PF00106;PF00397
23	Q9NZC7	0019899	enzyme binding	PF00106;PF00397
24	Q9NZC7	0016491	oxidoreductase activity	PF00106;PF00397
25	Q9NZC7	0046983	protein dimerization activity	PF00106;PF00397
26	Q9NZC7	0003713	transcription coactivator activity	PF00106;PF00397
27	Q9NZC7	0071560	cellular response to transforming growth factor beta stimulus	PF00106;PF00397
28	Q9NZC7	0097191	extrinsic apoptotic signaling pathway	PF00106;PF00397
29	Q9NZC7	0072332	intrinsic apoptotic signaling pathway by p53 class mediator	PF00106;PF00397
30	Q9NZC7	0000122	negative regulation of transcription by RNA polymerase II	PF00106;PF00397
31	Q9NZC7	0030178	negative regulation of Wnt signaling pathway	PF00106;PF00397
