	entry_ac	go_id	go_descr
156087	O60828	0010494	cytoplasmic stress granule
156088	O60828	0005829	cytosol
156089	O60828	0071598	neuronal ribonucleoprotein granule
156090	O60828	0016607	nuclear speck
156091	O60828	0005654	nucleoplasm
156092	O60828	0005634	nucleus
156093	O60828	0003677	DNA binding
156094	O60828	0003690	double-stranded DNA binding
156095	O60828	0043021	ribonucleoprotein complex binding
156096	O60828	0003713	transcription coactivator activity
156097	O60828	0002218	activation of innate immune response
156098	O60828	0000380	alternative mRNA splicing, via spliceosome
156099	O60828	0071360	cellular response to exogenous dsRNA
156100	O60828	0051607	defense response to virus
156101	O60828	0045087	innate immune response
156102	O60828	0000398	mRNA splicing, via spliceosome
156103	O60828	0031175	neuron projection development
156104	O60828	0002230	positive regulation of defense response to virus by host
156105	O60828	0032481	positive regulation of type I interferon production
156106	O60828	0048814	regulation of dendrite morphogenesis
156107	O60828	0043484	regulation of RNA splicing
156108	O60828	0006355	regulation of transcription, DNA-templated
