	entry_ac	architecture
0	Q9Y263	PF00400;PF08324;PF09070
1	Q96RE7	PF00651;PF10523
2	O43312	PF02205;PF08397
3	Q9NP80	PF01734
4	Q15319	PF00046;PF00157
5	P08134	PF00071
6	Q5VZM2	PF04670
7	P20338	PF00071
8	P61020	PF00071
9	Q9BRS2	
10	Q05823	PF00069;PF06479;PF12796
11	P51149	PF00071
12	O14966	PF00071
13	Q15311	PF00620
14	Q86UU9	
15	Q9NR97	PF01582;PF13855
16	O75443	PF00094;PF00100;PF01826;PF06119;PF08742;PF12714
17	Q8TBZ6	PF01746
18	Q9BRT2	
19	Q9UKY1	PF00046;PF11569;PF18387
20	Q9GZS3	PF00400
21	P35443	PF02412;PF05735;PF07645;PF11598
22	O95785	
23	O95859	PF00335
24	P35442	PF00090;PF00093;PF02412;PF05735;PF07645;PF12947
25	Q8NAT1	PF04577
26	Q6ZSK4	
27	P0DPB5	
28	Q9BT43	PF11705
29	P51157	PF00071
30	Q6GMV3	PF01981
31	P0DP57	PF00021
32	Q96MN5	PF08711
33	Q96IK0	PF15111
34	Q6ZWK6	PF00089;PF01390
35	Q8IYU4	PF00240
36	Q9NVE5	PF00443
37	Q6A555	PF00085
38	Q14146	PF10441
39	Q96K62	PF00096;PF00651
40	Q9Y2L8	PF00096;PF01352;PF02023
41	Q9UJW8	PF00096;PF01352
42	Q2M3X9	PF00096;PF01352
43	Q96PQ6	PF00096;PF01352
44	Q9Y3M9	PF00096;PF01352
45	Q8NE65	PF01352
46	B7Z6K7	PF00096;PF01352
47	Q14585	PF00096
48	Q9NQX6	PF00096;PF01352
49	P17036	PF00096;PF01352
50	Q96N77	PF00096;PF01352
51	Q6ZS27	PF00096
52	Q96K58	PF00096
53	P17024	PF00096;PF01352
54	P98168	PF00096
55	Q7Z3U7	PF09324;PF12783;PF16206;PF16213
56	Q9Y3P9	PF00566;PF00640;PF12473
57	Q13472	PF01131;PF01396;PF01751;PF06839
58	Q99952	PF00102
59	Q96T37	PF00076;PF07744
60	P43007	PF00375
61	A3KN83	PF13871;PF13872
62	Q96IW7	PF13774
63	P63220	PF01249
64	O15273	PF09470
65	Q8N616	
66	Q9BSA9	PF06736
67	Q86T26	PF00089;PF01390
68	Q6NUQ4	PF10151
69	Q9H0V1	
70	Q66K66	PF13886
71	Q96EC8	PF04893
72	Q9HAV4	PF08389
73	Q6ZRP5	
74	Q499Y3	
75	Q495M9	PF00536;PF12796
76	P18887	PF00533;PF01834;PF16589
77	O00507	PF00443
78	A0A0B4J280	PF07686
79	A0A0A6YYJ7	PF07686
80	P11441	PF00240;PF17840
81	Q8IWV8	PF02207;PF02617
82	Q7RTX1	PF00003;PF01094;PF07562
83	Q9UNX4	PF00400;PF04003;PF12894
84	P57081	PF00400
85	P58317	PF00096
86	Q8WVS4	
87	Q9BZM6	PF00129
88	O75820	PF00096;PF01352
89	Q9UQR1	PF00096
90	Q70J99	PF00168;PF10540
91	P11172	PF00156;PF00215
92	Q8N2C7	PF15778
93	Q5CZA5	PF00096;PF01352
94	Q9H7R0	PF00096;PF01352
95	Q8NB42	PF00096;PF01352
96	Q3MIS6	PF00096;PF01352
97	Q15631	PF01997
98	Q99598	PF01997
99	Q01534	PF00956
100	Q9BXA7	PF00069
101	Q9Y5U2	PF15264
102	Q9BXA6	PF00069
103	Q9UK11	PF00096;PF01352
104	O14905	PF00110
105	P17023	PF00096;PF01352
106	Q9ULT0	PF13181
107	Q3MJ62	PF00096;PF02023
108	Q99536	PF08240
109	Q9UPY5	PF13520
110	Q9Y4I5	PF03638
111	O15439	PF00005;PF00664
112	Q5TGP6	
113	P22103	
114	Q86UW6	PF01713;PF08590
115	Q8IXW5	PF04181
116	Q96AX2	PF00071
117	P10826	PF00104;PF00105
118	P29350	PF00017;PF00102
119	P61313	PF00827
120	Q9BQ04	PF00076;PF00098
121	Q14498	PF00076;PF15519
122	Q9NZH5	PF04856
123	Q3LXA3	PF02733;PF02734
124	Q9GZZ9	PF00899
125	Q16763	PF00179
126	Q7Z6J8	PF09814
127	E5RIL1	
128	Q9UK80	PF00443
129	Q9HBJ7	PF00443;PF16674
130	Q86YH2	PF13836
131	A6NNY8	PF00443
132	Q70EK8	PF00443
133	Q86UV5	PF00443
134	Q8N7P7	
135	Q6P3V2	PF00096;PF01352
136	Q6N043	PF13836
137	Q9BTP6	PF02892
138	P86452	PF02892;PF05699
139	Q14CS0	PF00789;PF08059
140	O96006	PF02892;PF05699
141	A2A288	PF11977;PF18039
142	Q53FD0	
143	Q2T9J0	
144	Q8IZN3	PF01529
145	P04818	PF00303
146	Q5W0Z9	PF01529
147	Q92558	PF02205
148	Q6ICG8	PF02893
149	Q8IX01	PF01585;PF01805
150	P35625	PF00965
151	Q96CP7	PF03798
152	Q9Y5J9	PF02953
153	Q8NHU6	PF00567;PF12872
154	A8MWL7	PF03647
155	Q9NPI0	PF14935
156	Q7Z5S9	PF07857
157	P68036	PF00179
158	A6NHS1	
159	P0CI00	PF00096;PF01352
160	Q9UHD9	PF00240;PF00627;PF17830
161	Q8NHM4	PF00089
162	Q14119	PF00096
163	Q8TAF3	PF00400;PF11816
164	O43379	PF00400;PF12894
165	Q96FK6	PF00400
166	Q8IWA0	PF00400
167	Q13360	PF00096;PF01352
168	Q9NW82	PF00400
169	Q9BRX9	PF00400
170	B1ANS9	PF00400
171	Q96JL9	PF00096;PF01352
172	Q8N9F8	PF00096;PF01352
173	Q96JC4	PF00096;PF01352
174	Q8TF20	PF00096;PF16622
175	P30536	PF03073
176	Q9Y6M5	PF01545
177	Q8N184	PF00096;PF01352
178	Q6UXI7	PF00092;PF03815
179	Q6SA08	PF00069
180	O43309	PF00096;PF02023
181	P33981	PF00069
182	P02766	PF00576
183	Q7Z5L0	PF03762
184	Q15904	PF05827
185	O95497	PF00795
186	O75436	PF03643
187	P27352	PF01122;PF14478
188	Q8WYA0	PF18383
189	Q92628	PF15376
190	Q9BV36	PF02318;PF04698
191	Q96JB3	PF00096;PF00651
192	Q5VVH5	PF04402
193	Q9Y3D8	
194	P09211	PF02798;PF14497
195	A4D1E9	PF01018;PF01926
196	Q8NDC0	PF15822
197	Q8NB16	PF07714
198	Q02846	PF00211;PF01094;PF07701;PF07714
199	A0A0A0MRZ9	PF07686
200	Q96PU9	PF07004
201	Q9Y5U9	PF08571
202	P01705	PF07686
203	Q9Y573	PF00651;PF01344;PF07707
204	Q6UWN0	PF00021
205	Q6UWN5	PF00021
206	Q9Y616	PF00069;PF00531
207	Q9NVD7	PF00307
208	Q9GZP0	PF00341;PF00431
209	Q9H720	
210	Q7RTR2	PF05729;PF13516;PF17776;PF17779
211	Q15121	PF01335
212	Q0GE19	PF13593
213	O15375	PF07690
214	O95255	PF00005;PF00664
215	Q9NRJ1	
216	Q9NQ66	PF00387;PF00388;PF06631;PF08703;PF09279;PF17787
217	Q9NSI8	PF07647;PF07653;PF12485
218	Q9P270	PF15301
219	Q9P0V8	
220	Q16563	PF01284
221	Q12888	PF09038
222	Q9Y6J9	PF02969;PF07571
223	Q9NXL6	PF13965
224	Q15437	PF00626;PF04810;PF04811;PF04815;PF08033
225	Q8IY34	PF00854
226	Q9NSA0	PF00083
227	A0AV02	PF00324
228	Q8TEV9	PF11704
229	Q9NY15	PF00193;PF02469;PF12947
230	A6NFE2	PF14992
231	P48775	PF03301
232	P29084	PF02186;PF18121
233	Q96I99	PF00549;PF08442
234	Q6ZNK6	PF00498
235	Q9NYW3	PF05296
236	Q9NUY8	PF00566;PF00581
237	Q9UBN4	PF00520;PF08344
238	Q9UJT1	PF00091
239	A7MCY6	PF12845
240	O60907	PF00400;PF08513
241	Q3YBR2	PF05964;PF05965
242	A6NFA1	PF01963
243	Q86V40	PF01963
244	O15178	PF00907
245	Q96B02	PF00179
246	Q5VVX9	PF00179
247	Q14139	PF04564;PF10408
248	Q8NHY6	PF00096;PF01352
249	Q96EF9	PF17826
250	Q8TBZ3	PF00400
251	O95789	PF06467
252	Q9P0L1	PF00096;PF01352;PF02023
253	Q9UJ78	PF06467
254	Q15973	PF00096;PF01352
255	Q8IWG1	
256	P52746	PF00096
257	Q86TI4	PF00400
258	P35968	PF00047;PF07679;PF07714;PF17988
259	Q9UK12	PF00096;PF01352
260	Q96BV0	PF00096
261	Q8TCV5	PF00095
262	Q7Z4V0	
263	Q96JM2	
264	Q17R98	PF00096
265	Q96EG3	PF00096
266	Q8TF50	PF00096
267	Q8TAF7	PF00096;PF01352
268	Q53HI1	PF05216
269	P15621	PF00096;PF01352
270	Q8N2I2	PF00096
271	Q8N9Z0	PF00096;PF01352
272	Q9UI38	PF00089
273	Q96MU7	PF04146
274	Q6PFW1	PF00328;PF18086
275	Q15649	PF04438
276	Q6NXR4	PF10521
277	P40306	PF00227;PF12465
278	P28065	PF00227
279	Q9NRZ7	PF01553;PF16076
280	Q8TF01	PF15996
281	P14923	PF00514
282	Q63HM9	
283	Q9UBY0	PF00999;PF16644
284	Q8TBY0	PF00076
285	P54829	PF00102
286	Q8N300	PF15674
287	O15466	PF00777
288	Q6PKC3	PF00085
289	P07101	PF00351;PF12549
290	Q99592	PF00096;PF00651
291	Q9NVA1	PF03981
292	Q9UKP6	PF00001
293	Q9Y2K1	PF00651
294	Q8NFD4	
295	O95847	PF00153
296	Q5PR19	
297	Q06418	PF00041;PF07679;PF07714
298	P22310	PF00201
299	Q9HAW9	PF00201
300	P06133	PF00201
301	Q9H0M4	PF00855;PF07496
302	Q8TBF4	PF00076;PF00098
303	O94874	PF09743
304	Q5TIE3	PF13757;PF13768
305	Q8N2E2	PF00094
306	Q709C8	PF06650;PF09333;PF12624;PF16908;PF16909;PF16910
307	Q86XT2	PF07200
308	O95670	PF03179
309	Q8N1B4	PF04129
310	Q86WI3	PF05729;PF13516;PF17776;PF18461
311	Q58A44	
312	P0C869	PF00168;PF01735;PF18695
313	Q8WV22	PF07574;PF08746
314	Q8TE76	PF07496;PF17942
315	Q5VTT5	PF00041;PF00047;PF07679
316	O00712	PF00859;PF03165;PF10524
317	O15438	PF00005;PF00664
318	O14787	PF03810
319	P45379	PF00992
320	Q9Y5U5	
321	P12081	PF00458;PF03129;PF13393
322	Q9H7N4	
323	Q92956	PF00020
324	Q8IWL1	PF00059
325	Q6FHJ7	PF01392;PF01759
326	Q9NPC8	PF00046;PF16878
327	Q8TCU3	PF13520
328	Q96LD1	PF04790
329	Q92629	PF04790
330	Q9NP91	PF00209
331	A0A1B0GWG4	PF15872
332	Q9Y265	PF06068;PF17856
333	Q96HU1	PF00018;PF00566;PF02759
334	Q9BRG2	PF00017
335	Q9H7C4	PF00038
336	Q8NF91	PF00307;PF00435;PF10541
337	Q99963	PF03114;PF07653
338	Q96HL8	PF00018;PF04366
339	Q8NBJ7	PF03781
340	Q92547	PF00533;PF12738
341	Q96KB5	PF00069
342	P29353	PF00017;PF00640
343	G2XKQ0	PF11976
344	Q70HW3	PF00153
345	Q6SPF0	PF00536
346	Q96A28	
347	Q8ND83	PF15301
348	Q14714	PF04103
349	O94842	PF00505
350	Q93096	PF00782
351	Q9P2F8	PF00595;PF02145;PF11881
352	O60292	PF02145;PF11881
353	Q9BVW5	PF07962
354	Q92623	PF07719
355	P19544	PF00096;PF02165
356	Q86SM8	PF00001
357	Q96LB1	PF00001
358	Q9Y6X6	PF00063;PF12796;PF15439
359	Q9Y3E5	PF01981
360	Q9UMS6	PF00595
361	Q9H0Z9	PF00076
362	Q9Y2L5	PF12739
363	Q9H9S3	PF00344;PF10559
364	Q9UH36	PF07985
365	Q96NB2	PF03820
366	P18405	PF02544
367	Q9NSE4	PF00133;PF06827;PF08264
368	O75995	PF07647;PF07653;PF12485
369	Q496J9	PF00083;PF07690;PF13599
370	Q96JF0	PF00777
371	Q9NSC7	PF00777
372	P0DPE8	
373	P31949	PF00036;PF01023
374	Q9BWD1	PF00108;PF02803
375	Q9BZM4	PF00129
376	Q6P4I2	
377	Q6ZN44	PF00531;PF00791;PF07679;PF17217
378	Q8IW36	PF00096;PF01352
379	Q6IV72	PF00096;PF01352
380	Q8WTR7	PF00096;PF01352
381	Q9H8N7	PF15997
382	Q5VIY5	PF00096;PF01352
383	Q53GI3	PF00096;PF01352;PF02023
384	Q9BQY6	PF00014;PF00095
385	Q86U90	PF01300
386	Q6XR72	PF01545
