,entry_ac,go_id,go_descr
227489,Q96QZ7,0005912,adherens junction
227490,Q96QZ7,0005923,bicellular tight junction
227491,Q96QZ7,0030054,cell junction
227492,Q96QZ7,0071944,cell periphery
227493,Q96QZ7,0042995,cell projection
227494,Q96QZ7,0005911,cell-cell junction
227495,Q96QZ7,0005737,cytoplasm
227496,Q96QZ7,0005730,nucleolus
227497,Q96QZ7,0005654,nucleoplasm
227498,Q96QZ7,0005886,plasma membrane
227499,Q96QZ7,0051393,alpha-actinin binding
227500,Q96QZ7,0005524,ATP binding
227501,Q96QZ7,0060090,molecular adaptor activity
227502,Q96QZ7,0008022,protein C-terminus binding
227503,Q96QZ7,0007155,cell adhesion
227504,Q96QZ7,0007166,cell surface receptor signaling pathway
227505,Q96QZ7,0022409,positive regulation of cell-cell adhesion
227506,Q96QZ7,0065003,protein-containing complex assembly
227507,Q96QZ7,0007165,signal transduction
