	entry_ac	go_id	go_descr
144998	P46939	0030054	cell junction
144999	P46939	0030864	cortical actin cytoskeleton
145000	P46939	0005737	cytoplasm
145001	P46939	0005856	cytoskeleton
145002	P46939	0016010	dystrophin-associated glycoprotein complex
145003	P46939	0070062	extracellular exosome
145004	P46939	0030175	filopodium
145005	P46939	0031527	filopodium membrane
145006	P46939	0030426	growth cone
145007	P46939	0016020	membrane
145008	P46939	0031594	neuromuscular junction
145009	P46939	0005654	nucleoplasm
145010	P46939	0005886	plasma membrane
145011	P46939	0045211	postsynaptic membrane
145012	P46939	0032991	protein-containing complex
145013	P46939	0042383	sarcolemma
145014	P46939	0003779	actin binding
145015	P46939	0051015	actin filament binding
145016	P46939	0005178	integrin binding
145017	P46939	0019901	protein kinase binding
145018	P46939	0017166	vinculin binding
145019	P46939	0008270	zinc ion binding
145020	P46939	0006936	muscle contraction
145021	P46939	0007517	muscle organ development
145022	P46939	0007528	neuromuscular junction development
145023	P46939	0001954	positive regulation of cell-matrix adhesion
145024	P46939	2000649	regulation of sodium ion transmembrane transporter activity
145025	P46939	0014894	response to denervation involved in regulation of muscle adaptation
186694	Q8WYQ5	0005737	cytoplasm
186695	Q8WYQ5	0070877	microprocessor complex
186696	Q8WYQ5	0005730	nucleolus
186697	Q8WYQ5	0005654	nucleoplasm
186698	Q8WYQ5	0005634	nucleus
186699	Q8WYQ5	0003725	double-stranded RNA binding
186700	Q8WYQ5	0020037	heme binding
186701	Q8WYQ5	0042802	identical protein binding
186702	Q8WYQ5	0046872	metal ion binding
186703	Q8WYQ5	0070878	primary miRNA binding
186704	Q8WYQ5	0042803	protein homodimerization activity
186705	Q8WYQ5	0010586	miRNA metabolic process
186706	Q8WYQ5	0031053	primary miRNA processing
186707	Q8WYQ5	0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
