,entry_ac,go_id,go_descr
72456,Q6ZWJ1,0070062,extracellular exosome
72457,Q6ZWJ1,0045335,phagocytic vesicle
72458,Q6ZWJ1,0019905,syntaxin binding
72459,Q6ZWJ1,0006974,cellular response to DNA damage stimulus
72460,Q6ZWJ1,0071346,cellular response to interferon-gamma
72461,Q6ZWJ1,0008286,insulin receptor signaling pathway
72462,Q6ZWJ1,1902808,positive regulation of cell cycle G1/S phase transition
72463,Q6ZWJ1,0010838,positive regulation of keratinocyte proliferation
72464,Q6ZWJ1,0050821,protein stabilization
72465,Q6ZWJ1,0006605,protein targeting
72466,Q6ZWJ1,0010827,regulation of glucose transmembrane transport
72467,Q6ZWJ1,0061178,regulation of insulin secretion involved in cellular response to glucose stimulus
