Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A0R4IKJ1	reviewed	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	7955	Danio rerio	721	PF00397	47..75
A1A5G4	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3	8364	Xenopus tropicalis	1107	PF00397	291..320,337..366
A1CQG2	reviewed	Probable E3 ubiquitin-protein ligase hulA	344612	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)	815	PF00397	231..260,335..364,395..424
A1D3C5	reviewed	Probable E3 ubiquitin-protein ligase hulA	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	816	PF00397	232..261,336..365,396..425
A2A5Z6	reviewed	E3 ubiquitin-protein ligase SMURF2	10090	Mus musculus	748	PF00397	159..188,253..282,299..328
A2AB59	reviewed	Rho GTPase-activating protein 27	10090	Mus musculus	869	PF00397	249..278,302..330
A2QQ28	reviewed	Probable E3 ubiquitin-protein ligase hulA	425011	Aspergillus niger (strain CBS 513.88 / FGSC A1513)	821	PF00397	233..262,341..370,401..430
A4IIJ3	reviewed	Protein KIBRA	8364	Xenopus tropicalis	1108	PF00397	8..37,55..84
A4V8B4	reviewed	Protein salvador homolog 1	10116	Rattus norvegicus	387	PF00397	203..232
A9JRZ0	reviewed	E3 ubiquitin-protein ligase SMURF2	7955	Danio rerio	765	PF00397	159..188,253..282,299..328
B0XQ72	reviewed	Probable E3 ubiquitin-protein ligase hulA	451804	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163)	813	PF00397	229..258,333..362,393..422
B3LWS4	reviewed	Protein kibra	7217	Drosophila ananassae	1271	PF00397	47..76
B3P3M8	reviewed	Protein kibra	7220	Drosophila erecta	1283	PF00397	55..84,102..131
B4HEJ6	reviewed	Protein kibra	7238	Drosophila sechellia	1295	PF00397	55..84,102..131
B4K6I9	reviewed	Protein kibra	7230	Drosophila mojavensis	1264	PF00397	37..66,84..113
B4M5X4	reviewed	Protein kibra	7244	Drosophila virilis	1276	PF00397	45..74,92..121
B4NAD3	reviewed	Protein kibra	7260	Drosophila willistoni	1288	PF00397	51..80
B4PSQ2	reviewed	Protein kibra	7245	Drosophila yakuba	1288	PF00397	56..85,103..132
B6EUA9	reviewed	Pre-mRNA-processing protein 40A	3702	Arabidopsis thaliana	958	PF00397	188..215,231..256
B6RSP1	reviewed	Pleckstrin homology domain-containing family A member 7	7955	Danio rerio	1197	PF00397	55..84
B8BCZ8	reviewed	Flowering time control protein FCA	39946	Oryza sativa subsp. indica	738	PF00397	613..640
B8N7E5	reviewed	Probable E3 ubiquitin-protein ligase hulA	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	812	PF00397	228..257,332..361,392..421
D6C652	reviewed	Transcriptional coactivator YAP1-A	8355	Xenopus laevis	459	PF00397	143..172,201..230
E9Q5F9	reviewed	Histone-lysine N-methyltransferase SETD2	10090	Mus musculus	2537	PF00397	2364..2393
F4JCC1	reviewed	Pre-mRNA-processing protein 40B	3702	Arabidopsis thaliana	992	PF00397	208..234,249..275
G0S9J5	reviewed	E3 ubiquitin-protein ligase RSP5	759272	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719)	820	PF00397	249..278,341..370,399..428
H2LBU8	reviewed	Transcriptional coactivator YAP1	8090	Oryzias latipes	459	PF00397	128..157,188..217
O00213	reviewed	Amyloid-beta A4 precursor protein-binding family B member 1	9606	Homo sapiens	710	PF00397	255..283
O00308	reviewed	NEDD4-like E3 ubiquitin-protein ligase WWP2	9606	Homo sapiens	870	PF00397	302..331,332..361,407..435,446..475
O04425	reviewed	Flowering time control protein FCA	3702	Arabidopsis thaliana	747	PF00397	597..622
O13598	reviewed	WW domain-containing protein C11B10.08	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	204	PF00397	9..41
O14176	reviewed	Pre-mRNA-processing protein prp40	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	695	PF00397	34..61,77..102
O14326	reviewed	E3 ubiquitin-protein ligase pub3	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	786	PF00397	238..267,308..337,366..395
O14776	reviewed	Transcription elongation regulator 1	9606	Homo sapiens	1098	PF00397	137..162,434..460
O15428	reviewed	Putative PIN1-like protein	9606	Homo sapiens	100	PF00397	7..37
O55148	reviewed	Growth arrest-specific protein 7	10116	Rattus norvegicus	422	PF00397	24..53
