	entry_ac	go_id	go_descr
107654	Q9BRR9	0005737	cytoplasm
107655	Q9BRR9	0005829	cytosol
107656	Q9BRR9	0005576	extracellular region
107657	Q9BRR9	0034774	secretory granule lumen
107658	Q9BRR9	0005096	GTPase activator activity
107659	Q9BRR9	0005547	phosphatidylinositol-3,4,5-trisphosphate binding
107660	Q9BRR9	0043312	neutrophil degranulation
107661	Q9BRR9	0043087	regulation of GTPase activity
107662	Q9BRR9	0051056	regulation of small GTPase mediated signal transduction
107663	Q9BRR9	0007165	signal transduction
