Entry,Pfam
Q9Y263,PF09070
Q9Y263,PF08324
Q9Y263,PF00400
Q96RE7,PF10523
Q96RE7,PF00651
O43312,PF08397
O43312,PF02205
Q9NP80,PF01734
Q15319,PF00046
Q15319,PF00157
P08134,PF00071
Q5VZM2,PF04670
P20338,PF00071
P61020,PF00071
Q05823,PF12796
Q05823,PF00069
Q05823,PF06479
P51149,PF00071
O14966,PF00071
Q15311,PF00620
Q9NR97,PF13855
Q9NR97,PF01582
O75443,PF08742
O75443,PF06119
O75443,PF01826
O75443,PF12714
O75443,PF00094
O75443,PF00100
Q8TBZ6,PF01746
Q9UKY1,PF00046
Q9UKY1,PF11569
Q9UKY1,PF18387
Q9GZS3,PF00400
P35443,PF11598
P35443,PF07645
P35443,PF02412
P35443,PF05735
O95859,PF00335
P35442,PF12947
P35442,PF07645
P35442,PF00090
P35442,PF02412
P35442,PF05735
P35442,PF00093
Q8NAT1,PF04577
Q9BT43,PF11705
P51157,PF00071
Q6GMV3,PF01981
P0DP57,PF00021
Q96MN5,PF08711
Q96IK0,PF15111
Q6ZWK6,PF01390
Q6ZWK6,PF00089
Q8IYU4,PF00240
Q9NVE5,PF00443
Q6A555,PF00085
Q14146,PF10441
Q96K62,PF00651
Q96K62,PF00096
Q9Y2L8,PF01352
Q9Y2L8,PF02023
Q9Y2L8,PF00096
Q9UJW8,PF01352
Q9UJW8,PF00096
Q2M3X9,PF01352
Q2M3X9,PF00096
Q96PQ6,PF01352
Q96PQ6,PF00096
Q9Y3M9,PF01352
Q9Y3M9,PF00096
Q8NE65,PF01352
B7Z6K7,PF01352
B7Z6K7,PF00096
Q14585,PF00096
Q9NQX6,PF01352
Q9NQX6,PF00096
P17036,PF01352
P17036,PF00096
Q96N77,PF01352
Q96N77,PF00096
Q6ZS27,PF00096
Q96K58,PF00096
P17024,PF01352
P17024,PF00096
P98168,PF00096
Q7Z3U7,PF16213
Q7Z3U7,PF09324
Q7Z3U7,PF16206
Q7Z3U7,PF12783
Q9Y3P9,PF12473
Q9Y3P9,PF00640
Q9Y3P9,PF00566
Q13472,PF01131
Q13472,PF01751
Q13472,PF01396
Q13472,PF06839
Q99952,PF00102
Q96T37,PF00076
Q96T37,PF07744
P43007,PF00375
