	entry_ac	go_id	go_descr
87	P08134	0005938	cell cortex
88	P08134	0032153	cell division site
89	P08134	0032154	cleavage furrow
90	P08134	0005737	cytoplasm
91	P08134	0005829	cytosol
92	P08134	0070062	extracellular exosome
93	P08134	0043231	intracellular membrane-bounded organelle
94	P08134	0005634	nucleus
95	P08134	0005886	plasma membrane
96	P08134	0032420	stereocilium
97	P08134	0005525	GTP binding
98	P08134	0003924	GTPase activity
99	P08134	0019901	protein kinase binding
100	P08134	0051017	actin filament bundle assembly
101	P08134	0007015	actin filament organization
102	P08134	0043297	apical junction assembly
103	P08134	0016477	cell migration
104	P08134	0030950	establishment or maintenance of actin cytoskeleton polarity
105	P08134	0007186	G protein-coupled receptor signaling pathway
106	P08134	0000281	mitotic cytokinesis
107	P08134	0030335	positive regulation of cell migration
108	P08134	0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
109	P08134	0060193	positive regulation of lipase activity
110	P08134	0032464	positive regulation of protein homooligomerization
111	P08134	0051496	positive regulation of stress fiber assembly
112	P08134	0032956	regulation of actin cytoskeleton organization
113	P08134	0030334	regulation of cell migration
114	P08134	0008360	regulation of cell shape
115	P08134	0051056	regulation of small GTPase mediated signal transduction
116	P08134	0007266	Rho protein signal transduction
117	P08134	1902766	skeletal muscle satellite cell migration
118	P08134	0044319	wound healing, spreading of cells
217	P51149	0000421	autophagosome membrane
218	P51149	0005623	cell
219	P51149	0005829	cytosol
220	P51149	0010008	endosome membrane
221	P51149	0070062	extracellular exosome
222	P51149	0032419	extrinsic component of lysosome membrane
223	P51149	0005794	Golgi apparatus
224	P51149	0005770	late endosome
225	P51149	0031902	late endosome membrane
226	P51149	0005811	lipid droplet
227	P51149	0005765	lysosomal membrane
228	P51149	0005764	lysosome
229	P51149	0033162	melanosome membrane
230	P51149	0045335	phagocytic vesicle
231	P51149	0030670	phagocytic vesicle membrane
232	P51149	0034045	phagophore assembly site membrane
233	P51149	0005886	plasma membrane
234	P51149	0030667	secretory granule membrane
235	P51149	0019003	GDP binding
236	P51149	0005525	GTP binding
237	P51149	0003924	GTPase activity
238	P51149	1905394	retromer complex binding
239	P51149	0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II
240	P51149	0000045	autophagosome assembly
241	P51149	0045022	early endosome to late endosome transport
242	P51149	0006897	endocytosis
243	P51149	0008333	endosome to lysosome transport
244	P51149	0007174	epidermal growth factor catabolic process
245	P51149	0006886	intracellular protein transport
246	P51149	0016042	lipid catabolic process
247	P51149	0061724	lipophagy
248	P51149	1902583	multi-organism intracellular transport
249	P51149	1903542	negative regulation of exosomal secretion
250	P51149	1905366	negative regulation of intralumenal vesicle formation
251	P51149	0043312	neutrophil degranulation
252	P51149	0090383	phagosome acidification
253	P51149	0090382	phagosome maturation
254	P51149	0090385	phagosome-lysosome fusion
255	P51149	1903543	positive regulation of exosomal secretion
256	P51149	0045732	positive regulation of protein catabolic process
257	P51149	0048524	positive regulation of viral process
258	P51149	0006622	protein targeting to lysosome
259	P51149	0022615	protein to membrane docking
260	P51149	0015031	protein transport
261	P51149	0032482	Rab protein signal transduction
262	P51149	0042147	retrograde transport, endosome to Golgi
263	P51149	0019076	viral release from host cell
419	Q9GZS3	0016593	Cdc73/Paf1 complex
420	Q9GZS3	0005737	cytoplasm
421	Q9GZS3	0005829	cytosol
422	Q9GZS3	0005654	nucleoplasm
423	Q9GZS3	0005634	nucleus
424	Q9GZS3	0055087	Ski complex
425	Q9GZS3	0035327	transcriptionally active chromatin
426	Q9GZS3	0043928	exonucleolytic catabolism of deadenylated mRNA
427	Q9GZS3	0080182	histone H3-K4 trimethylation
428	Q9GZS3	0045638	negative regulation of myeloid cell differentiation
429	Q9GZS3	0051571	positive regulation of histone H3-K4 methylation
430	Q9GZS3	2001162	positive regulation of histone H3-K79 methylation
431	Q9GZS3	0045944	positive regulation of transcription by RNA polymerase II
432	Q9GZS3	0032968	positive regulation of transcription elongation from RNA polymerase II promoter
433	Q9GZS3	0016567	protein ubiquitination
434	Q9GZS3	0006366	transcription by RNA polymerase II
435	Q9GZS3	0006368	transcription elongation from RNA polymerase II promoter
436	Q9GZS3	0016055	Wnt signaling pathway
756	O15273	0005829	cytosol
757	O15273	0031674	I band
758	O15273	0030018	Z disc
759	O15273	0036122	BMP binding
760	O15273	0051373	FATZ binding
761	O15273	0044325	ion channel binding
762	O15273	0030674	protein binding, bridging
763	O15273	0008307	structural constituent of muscle
764	O15273	0031432	titin binding
765	O15273	0070080	titin Z domain binding
766	O15273	0007512	adult heart development
767	O15273	0060048	cardiac muscle contraction
768	O15273	0048739	cardiac muscle fiber development
769	O15273	0003300	cardiac muscle hypertrophy
770	O15273	0014898	cardiac muscle hypertrophy in response to stress
771	O15273	0055008	cardiac muscle tissue morphogenesis
772	O15273	0055003	cardiac myofibril assembly
773	O15273	0050982	detection of mechanical stimulus
774	O15273	0035995	detection of muscle stretch
775	O15273	0030049	muscle filament sliding
776	O15273	0030916	otic vesicle formation
777	O15273	0065003	protein-containing complex assembly
778	O15273	0035994	response to muscle stretch
779	O15273	0045214	sarcomere organization
780	O15273	0048769	sarcomerogenesis
781	O15273	0003009	skeletal muscle contraction
782	O15273	0030241	skeletal muscle myosin thick filament assembly
783	O15273	0030240	skeletal muscle thin filament assembly
784	O15273	0001756	somitogenesis
826	Q9HAV4	0005737	cytoplasm
827	Q9HAV4	0005829	cytosol
828	Q9HAV4	0005654	nucleoplasm
829	Q9HAV4	0005634	nucleus
830	Q9HAV4	0016442	RISC complex
831	Q9HAV4	0042565	RNA nuclear export complex
832	Q9HAV4	0003729	mRNA binding
833	Q9HAV4	0005049	nuclear export signal receptor activity
834	Q9HAV4	0070883	pre-miRNA binding
835	Q9HAV4	0008536	Ran GTPase binding
836	Q9HAV4	1905172	RISC complex binding
837	Q9HAV4	0003723	RNA binding
838	Q9HAV4	0000049	tRNA binding
839	Q9HAV4	0010586	miRNA metabolic process
840	Q9HAV4	1900370	positive regulation of RNA interference
841	Q9HAV4	0035281	pre-miRNA export from nucleus
842	Q9HAV4	0006611	protein export from nucleus
843	Q9HAV4	0046825	regulation of protein export from nucleus
905	P11441	0071818	BAT3 complex
906	P11441	0005737	cytoplasm
907	P11441	0005829	cytosol
908	P11441	0016020	membrane
909	P11441	0005654	nucleoplasm
910	P11441	0005634	nucleus
911	P11441	0051087	chaperone binding
912	P11441	0019787	ubiquitin-like protein transferase activity
913	P11441	0006464	cellular protein modification process
914	P11441	0071816	tail-anchored membrane protein insertion into ER membrane
915	Q8IWV8	0000785	chromatin
916	Q8IWV8	0005737	cytoplasm
917	Q8IWV8	0005829	cytosol
918	Q8IWV8	0005634	nucleus
919	Q8IWV8	0000151	ubiquitin ligase complex
920	Q8IWV8	0070728	leucine binding
921	Q8IWV8	0061630	ubiquitin protein ligase activity
922	Q8IWV8	0008270	zinc ion binding
923	Q8IWV8	0071233	cellular response to leucine
924	Q8IWV8	0006342	chromatin silencing
925	Q8IWV8	0033522	histone H2A ubiquitination
926	Q8IWV8	0007141	male meiosis I
927	Q8IWV8	0007140	male meiotic nuclear division
928	Q8IWV8	0032007	negative regulation of TOR signaling
929	Q8IWV8	0010529	negative regulation of transposition
930	Q8IWV8	0000209	protein polyubiquitination
931	Q8IWV8	0016567	protein ubiquitination
932	Q8IWV8	0007131	reciprocal meiotic recombination
933	Q8IWV8	0007283	spermatogenesis
934	Q8IWV8	0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway
1344	P29350	0042105	alpha-beta T cell receptor complex
1345	P29350	0005911	cell-cell junction
1346	P29350	0005737	cytoplasm
1347	P29350	0005829	cytosol
1348	P29350	0070062	extracellular exosome
1349	P29350	0005576	extracellular region
1350	P29350	0016020	membrane
1351	P29350	0005730	nucleolus
1352	P29350	0005654	nucleoplasm
1353	P29350	0005634	nucleus
1354	P29350	0032991	protein-containing complex
1355	P29350	0035580	specific granule lumen
1356	P29350	1904724	tertiary granule lumen
1357	P29350	0050839	cell adhesion molecule binding
1358	P29350	0140031	phosphorylation-dependent protein binding
1359	P29350	0001784	phosphotyrosine residue binding
1360	P29350	0019901	protein kinase binding
1361	P29350	0004725	protein tyrosine phosphatase activity
1362	P29350	0042169	SH2 domain binding
1363	P29350	0017124	SH3 domain binding
1364	P29350	0005001	transmembrane receptor protein tyrosine phosphatase activity
1365	P29350	0033277	abortive mitotic cell cycle
1366	P29350	0006915	apoptotic process
1367	P29350	0050853	B cell receptor signaling pathway
1368	P29350	0030154	cell differentiation
1369	P29350	0008283	cell population proliferation
1370	P29350	0071345	cellular response to cytokine stimulus
1371	P29350	0019221	cytokine-mediated signaling pathway
1372	P29350	0007186	G protein-coupled receptor signaling pathway
1373	P29350	0002244	hematopoietic progenitor cell differentiation
1374	P29350	0035556	intracellular signal transduction
1375	P29350	0050900	leukocyte migration
1376	P29350	0035855	megakaryocyte development
1377	P29350	0042267	natural killer cell mediated cytotoxicity
1378	P29350	0008285	negative regulation of cell population proliferation
1379	P29350	0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin
1380	P29350	0032715	negative regulation of interleukin-6 production
1381	P29350	0043407	negative regulation of MAP kinase activity
1382	P29350	0050732	negative regulation of peptidyl-tyrosine phosphorylation
1383	P29350	0042130	negative regulation of T cell proliferation
1384	P29350	0050860	negative regulation of T cell receptor signaling pathway
1385	P29350	0032720	negative regulation of tumor necrosis factor production
1386	P29350	0043312	neutrophil degranulation
1387	P29350	0035335	peptidyl-tyrosine dephosphorylation
1388	P29350	0018108	peptidyl-tyrosine phosphorylation
1389	P29350	0030168	platelet activation
1390	P29350	0070527	platelet aggregation
1391	P29350	0030220	platelet formation
1392	P29350	0033630	positive regulation of cell adhesion mediated by integrin
1393	P29350	0008284	positive regulation of cell population proliferation
1394	P29350	0014068	positive regulation of phosphatidylinositol 3-kinase signaling
1395	P29350	0006470	protein dephosphorylation
1396	P29350	0045577	regulation of B cell differentiation
1397	P29350	0070372	regulation of ERK1 and ERK2 cascade
1398	P29350	2000045	regulation of G1/S transition of mitotic cell cycle
1399	P29350	0051279	regulation of release of sequestered calcium ion into cytosol
1400	P29350	0060338	regulation of type I interferon-mediated signaling pathway
1401	P29350	0031295	T cell costimulation
1433	Q14498	0034451	centriolar satellite
1434	Q14498	0015630	microtubule cytoskeleton
1435	Q14498	0016607	nuclear speck
1436	Q14498	0005654	nucleoplasm
1437	Q14498	0032991	protein-containing complex
1438	Q14498	0003723	RNA binding
1439	Q14498	0006397	mRNA processing
1440	Q14498	0006396	RNA processing
1441	Q14498	0008380	RNA splicing
1463	Q9GZZ9	0005737	cytoplasm
1464	Q9GZZ9	0005829	cytosol
1465	Q9GZZ9	0005794	Golgi apparatus
1466	Q9GZZ9	0043231	intracellular membrane-bounded organelle
1467	Q9GZZ9	0005634	nucleus
1468	Q9GZZ9	0005524	ATP binding
1469	Q9GZZ9	0046872	metal ion binding
1470	Q9GZZ9	0071566	UFM1 activating enzyme activity
1471	Q9GZZ9	0050905	neuromuscular process
1472	Q9GZZ9	1990592	protein K69-linked ufmylation
1473	Q9GZZ9	0032446	protein modification by small protein conjugation
1474	Q9GZZ9	0071569	protein ufmylation
1475	Q9GZZ9	0033146	regulation of intracellular estrogen receptor signaling pathway
1476	Q9GZZ9	0034976	response to endoplasmic reticulum stress
1477	Q16763	0005680	anaphase-promoting complex
1478	Q16763	0005623	cell
1479	Q16763	0005829	cytosol
1480	Q16763	0005654	nucleoplasm
1481	Q16763	0010997	anaphase-promoting complex binding
1482	Q16763	0005524	ATP binding
1483	Q16763	0061631	ubiquitin conjugating enzyme activity
1484	Q16763	0004842	ubiquitin-protein transferase activity
1485	Q16763	0031145	anaphase-promoting complex-dependent catabolic process
1486	Q16763	0051301	cell division
1487	Q16763	0006464	cellular protein modification process
1488	Q16763	0010458	exit from mitosis
1489	Q16763	0010994	free ubiquitin chain polymerization
1490	Q16763	1904668	positive regulation of ubiquitin protein ligase activity
1491	Q16763	0070979	protein K11-linked ubiquitination
1492	Q16763	0044314	protein K27-linked ubiquitination
1493	Q16763	0035519	protein K29-linked ubiquitination
1494	Q16763	0085020	protein K6-linked ubiquitination
1495	Q16763	0070534	protein K63-linked ubiquitination
1496	Q16763	0016567	protein ubiquitination
1497	Q16763	0006511	ubiquitin-dependent protein catabolic process
1498	Q7Z6J8	0005829	cytosol
1499	Q7Z6J8	0005634	nucleus
1500	Q7Z6J8	0000151	ubiquitin ligase complex
1501	Q7Z6J8	0030332	cyclin binding
1502	Q7Z6J8	0031624	ubiquitin conjugating enzyme binding
1503	Q7Z6J8	0061630	ubiquitin protein ligase activity
1504	Q7Z6J8	0044390	ubiquitin-like protein conjugating enzyme binding
1505	Q7Z6J8	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
1506	Q7Z6J8	0051865	protein autoubiquitination
1507	Q7Z6J8	0006513	protein monoubiquitination
1508	Q7Z6J8	0000209	protein polyubiquitination
1777	P68036	0005737	cytoplasm
1778	P68036	0005829	cytosol
1779	P68036	0005654	nucleoplasm
1780	P68036	0005634	nucleus
1781	P68036	0000151	ubiquitin ligase complex
1782	P68036	0005524	ATP binding
1783	P68036	0019899	enzyme binding
1784	P68036	0003723	RNA binding
1785	P68036	0003713	transcription coactivator activity
1786	P68036	0061631	ubiquitin conjugating enzyme activity
1787	P68036	0031625	ubiquitin protein ligase binding
1788	P68036	0097027	ubiquitin-protein transferase activator activity
1789	P68036	0004842	ubiquitin-protein transferase activity
1790	P68036	0044770	cell cycle phase transition
1791	P68036	0008283	cell population proliferation
1792	P68036	0006464	cellular protein modification process
1793	P68036	0071385	cellular response to glucocorticoid stimulus
1794	P68036	0071383	cellular response to steroid hormone stimulus
1795	P68036	1903955	positive regulation of protein targeting to mitochondrion
1796	P68036	0031398	positive regulation of protein ubiquitination
1797	P68036	0051443	positive regulation of ubiquitin-protein transferase activity
1798	P68036	0070979	protein K11-linked ubiquitination
1799	P68036	0000209	protein polyubiquitination
1800	P68036	0016567	protein ubiquitination
1801	P68036	0006355	regulation of transcription, DNA-templated
1802	P68036	0006511	ubiquitin-dependent protein catabolic process
1807	Q9UHD9	0005776	autophagosome
1808	Q9UHD9	0005737	cytoplasm
1809	Q9UHD9	0031410	cytoplasmic vesicle
1810	Q9UHD9	0005829	cytosol
1811	Q9UHD9	0005634	nucleus
1812	Q9UHD9	0005886	plasma membrane
1813	Q9UHD9	0031593	polyubiquitin modification-dependent protein binding
1814	Q9UHD9	0000045	autophagosome assembly
1815	Q9UHD9	1900186	negative regulation of clathrin-dependent endocytosis
1816	Q9UHD9	1904021	negative regulation of G protein-coupled receptor internalization
1817	Q9UHD9	1903071	positive regulation of ER-associated ubiquitin-dependent protein catabolic process
1818	Q9UHD9	2000785	regulation of autophagosome assembly
1819	Q9UHD9	0016241	regulation of macroautophagy
1820	Q9UHD9	0030433	ubiquitin-dependent ERAD pathway
1821	Q9UHD9	0006511	ubiquitin-dependent protein catabolic process
2908	Q96B02	0005654	nucleoplasm
2909	Q96B02	0005634	nucleus
2910	Q96B02	0005524	ATP binding
2911	Q96B02	0061631	ubiquitin conjugating enzyme activity
2912	Q96B02	0031625	ubiquitin protein ligase binding
2913	Q96B02	0004842	ubiquitin-protein transferase activity
2914	Q96B02	0071218	cellular response to misfolded protein
2915	Q96B02	0006281	DNA repair
2916	Q96B02	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
2917	Q96B02	0070979	protein K11-linked ubiquitination
2918	Q96B02	0006513	protein monoubiquitination
2919	Q96B02	0006515	protein quality control for misfolded or incompletely synthesized proteins
2920	Q96B02	0016567	protein ubiquitination
2921	Q5VVX9	0033503	HULC complex
2922	Q5VVX9	0000790	nuclear chromatin
2923	Q5VVX9	0005524	ATP binding
2924	Q5VVX9	0061631	ubiquitin conjugating enzyme activity
2925	Q5VVX9	0006281	DNA repair
2926	Q5VVX9	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
2927	Q5VVX9	0000209	protein polyubiquitination
2928	Q14139	0005737	cytoplasm
2929	Q14139	0005634	nucleus
2930	Q14139	0000151	ubiquitin ligase complex
2931	Q14139	0034450	ubiquitin-ubiquitin ligase activity
2932	Q14139	0000209	protein polyubiquitination
2933	Q14139	0030433	ubiquitin-dependent ERAD pathway
2934	Q14139	0006511	ubiquitin-dependent protein catabolic process
3133	P40306	0005737	cytoplasm
3134	P40306	0005829	cytosol
3135	P40306	0005654	nucleoplasm
3136	P40306	0005634	nucleus
3137	P40306	0000502	proteasome complex
3138	P40306	0005839	proteasome core complex
3139	P40306	0019774	proteasome core complex, beta-subunit complex
3140	P40306	1990111	spermatoproteasome complex
3141	P40306	0004175	endopeptidase activity
3142	P40306	0004298	threonine-type endopeptidase activity
3143	P40306	0031145	anaphase-promoting complex-dependent catabolic process
3144	P40306	0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
3145	P40306	0000902	cell morphogenesis
3146	P40306	0038095	Fc-epsilon receptor signaling pathway
3147	P40306	0006959	humoral immune response
3148	P40306	0070498	interleukin-1-mediated signaling pathway
3149	P40306	0000165	MAPK cascade
3150	P40306	0090090	negative regulation of canonical Wnt signaling pathway
3151	P40306	0010972	negative regulation of G2/M transition of mitotic cell cycle
3152	P40306	0038061	NIK/NF-kappaB signaling
3153	P40306	0090263	positive regulation of canonical Wnt signaling pathway
3154	P40306	0043687	post-translational protein modification
3155	P40306	0010498	proteasomal protein catabolic process
3156	P40306	0010499	proteasomal ubiquitin-independent protein catabolic process
3157	P40306	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
3158	P40306	0016579	protein deubiquitination
3159	P40306	0000209	protein polyubiquitination
3160	P40306	0006521	regulation of cellular amino acid metabolic process
3161	P40306	1902036	regulation of hematopoietic stem cell differentiation
3162	P40306	1901990	regulation of mitotic cell cycle phase transition
3163	P40306	0043488	regulation of mRNA stability
3164	P40306	0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia
3165	P40306	0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
3166	P40306	0002223	stimulatory C-type lectin receptor signaling pathway
3167	P40306	0042098	T cell proliferation
3168	P40306	0050852	T cell receptor signaling pathway
3169	P40306	0055085	transmembrane transport
3170	P40306	0033209	tumor necrosis factor-mediated signaling pathway
