	entry_ac	go_id	go_descr
5008	Q9BTA9	0016607	nuclear speck
5009	Q9BTA9	0005654	nucleoplasm
5010	Q9BTA9	0005634	nucleus
5011	Q9BTA9	0005681	spliceosomal complex
5012	Q9BTA9	0003682	chromatin binding
5013	Q9BTA9	0000993	RNA polymerase II complex binding
5014	Q9BTA9	0006974	cellular response to DNA damage stimulus
5015	Q9BTA9	0044783	G1 DNA damage checkpoint
5016	Q9BTA9	0071894	histone H2B conserved C-terminal lysine ubiquitination
5017	Q9BTA9	0010390	histone monoubiquitination
5018	Q9BTA9	0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
5019	Q9BTA9	0016239	positive regulation of macroautophagy
5020	Q9BTA9	0045893	positive regulation of transcription, DNA-templated
5021	Q9BTA9	0016567	protein ubiquitination
8713	Q9NZC7	0005737	cytoplasm
8714	Q9NZC7	0005829	cytosol
8715	Q9NZC7	0005794	Golgi apparatus
8716	Q9NZC7	0005739	mitochondrion
8717	Q9NZC7	0005654	nucleoplasm
8718	Q9NZC7	0005634	nucleus
8719	Q9NZC7	0090575	RNA polymerase II transcription factor complex
8720	Q9NZC7	0050662	coenzyme binding
8721	Q9NZC7	0048037	cofactor binding
8722	Q9NZC7	0019899	enzyme binding
8723	Q9NZC7	0016491	oxidoreductase activity
8724	Q9NZC7	0046983	protein dimerization activity
8725	Q9NZC7	0003713	transcription coactivator activity
8726	Q9NZC7	0071560	cellular response to transforming growth factor beta stimulus
8727	Q9NZC7	0097191	extrinsic apoptotic signaling pathway
8728	Q9NZC7	0072332	intrinsic apoptotic signaling pathway by p53 class mediator
8729	Q9NZC7	0000122	negative regulation of transcription by RNA polymerase II
8730	Q9NZC7	0030178	negative regulation of Wnt signaling pathway
8731	Q9NZC7	0001649	osteoblast differentiation
8732	Q9NZC7	0055114	oxidation-reduction process
8733	Q9NZC7	2001238	positive regulation of extrinsic apoptotic signaling pathway
8734	Q9NZC7	2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand
8735	Q9NZC7	0045944	positive regulation of transcription by RNA polymerase II
8736	Q9NZC7	0048705	skeletal system morphogenesis
8737	Q9NZC7	0008202	steroid metabolic process
8738	Q9NZC7	0016055	Wnt signaling pathway
9645	Q9GZV5	0005737	cytoplasm
9646	Q9GZV5	0005829	cytosol
9647	Q9GZV5	0016604	nuclear body
9648	Q9GZV5	0005654	nucleoplasm
9649	Q9GZV5	0005634	nucleus
9650	Q9GZV5	0005667	transcription factor complex
9651	Q9GZV5	0042803	protein homodimerization activity
9652	Q9GZV5	0003713	transcription coactivator activity
9653	Q9GZV5	0003714	transcription corepressor activity
9654	Q9GZV5	0060271	cilium assembly
9655	Q9GZV5	0032835	glomerulus development
9656	Q9GZV5	0003015	heart process
9657	Q9GZV5	0035329	hippo signaling
9658	Q9GZV5	0060993	kidney morphogenesis
9659	Q9GZV5	0048762	mesenchymal cell differentiation
9660	Q9GZV5	0035264	multicellular organism growth
9661	Q9GZV5	0090090	negative regulation of canonical Wnt signaling pathway
9662	Q9GZV5	0045599	negative regulation of fat cell differentiation
9663	Q9GZV5	0006469	negative regulation of protein kinase activity
9664	Q9GZV5	0001933	negative regulation of protein phosphorylation
9665	Q9GZV5	0000122	negative regulation of transcription by RNA polymerase II
9666	Q9GZV5	0001649	osteoblast differentiation
9667	Q9GZV5	0008284	positive regulation of cell population proliferation
9668	Q9GZV5	0010718	positive regulation of epithelial to mesenchymal transition
9669	Q9GZV5	0045944	positive regulation of transcription by RNA polymerase II
9670	Q9GZV5	0016567	protein ubiquitination
9671	Q9GZV5	0072307	regulation of metanephric nephron tubule epithelial cell differentiation
9672	Q9GZV5	0060390	regulation of SMAD protein signal transduction
9673	Q9GZV5	0006355	regulation of transcription, DNA-templated
9674	Q9GZV5	0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
9675	Q9GZV5	0017145	stem cell division
9676	Q9GZV5	0001894	tissue homeostasis
9677	Q9GZV5	0006367	transcription initiation from RNA polymerase II promoter
26666	Q8N3X1	0016607	nuclear speck
29774	Q5VWI1	0005634	nucleus
32501	O15428	0005829	cytosol
32502	O15428	0005634	nucleus
32503	O15428	0003755	peptidyl-prolyl cis-trans isomerase activity
37424	Q6IQ23	0030054	cell junction
37425	Q6IQ23	0005813	centrosome
37426	Q6IQ23	0005829	cytosol
37427	Q6IQ23	0070062	extracellular exosome
37428	Q6IQ23	0005654	nucleoplasm
37429	Q6IQ23	0046930	pore complex
37430	Q6IQ23	0005915	zonula adherens
37431	Q6IQ23	0070097	delta-catenin binding
37432	Q6IQ23	0044331	cell-cell adhesion mediated by cadherin
37433	Q6IQ23	0090136	epithelial cell-cell adhesion
37434	Q6IQ23	0046931	pore complex assembly
37435	Q6IQ23	0045218	zonula adherens maintenance
43021	Q6AWC2	0005829	cytosol
43022	Q6AWC2	0019900	kinase binding
43023	Q6AWC2	0060090	molecular adaptor activity
43024	Q6AWC2	0035331	negative regulation of hippo signaling
43025	Q6AWC2	0046621	negative regulation of organ growth
43026	Q6AWC2	0000122	negative regulation of transcription by RNA polymerase II
49616	Q9HCE7	0030424	axon
49617	Q9HCE7	0005623	cell
49618	Q9HCE7	0005737	cytoplasm
49619	Q9HCE7	0005829	cytosol
49620	Q9HCE7	0070062	extracellular exosome
49621	Q9HCE7	0043025	neuronal cell body
49622	Q9HCE7	0005654	nucleoplasm
49623	Q9HCE7	0005886	plasma membrane
49624	Q9HCE7	0048185	activin binding
49625	Q9HCE7	0070411	I-SMAD binding
49626	Q9HCE7	0005543	phospholipid binding
49627	Q9HCE7	0070412	R-SMAD binding
49628	Q9HCE7	0061630	ubiquitin protein ligase activity
49629	Q9HCE7	0004842	ubiquitin-protein transferase activity
49630	Q9HCE7	0030509	BMP signaling pathway
49631	Q9HCE7	0030154	cell differentiation
49632	Q9HCE7	0007398	ectoderm development
49633	Q9HCE7	0061736	engulfment of target by autophagosome
49634	Q9HCE7	0030514	negative regulation of BMP signaling pathway
49635	Q9HCE7	0030279	negative regulation of ossification
49636	Q9HCE7	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
49637	Q9HCE7	0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
49638	Q9HCE7	1903861	positive regulation of dendrite extension
49639	Q9HCE7	0045732	positive regulation of protein catabolic process
49640	Q9HCE7	2000060	positive regulation of ubiquitin-dependent protein catabolic process
49641	Q9HCE7	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
49642	Q9HCE7	0006611	protein export from nucleus
49643	Q9HCE7	0034394	protein localization to cell surface
49644	Q9HCE7	0072659	protein localization to plasma membrane
49645	Q9HCE7	0000209	protein polyubiquitination
49646	Q9HCE7	0071211	protein targeting to vacuole involved in autophagy
49647	Q9HCE7	0016567	protein ubiquitination
49648	Q9HCE7	0032801	receptor catabolic process
49649	Q9HCE7	0061753	substrate localization to autophagosome
49650	Q9HCE7	0007179	transforming growth factor beta receptor signaling pathway
49651	Q9HCE7	0006511	ubiquitin-dependent protein catabolic process
49652	Q9HCE7	0030579	ubiquitin-dependent SMAD protein catabolic process
49653	Q9HCE7	0060071	Wnt signaling pathway, planar cell polarity pathway
59074	Q9BYW2	0005694	chromosome
59075	Q9BYW2	0005654	nucleoplasm
59076	Q9BYW2	0005634	nucleus
59077	Q9BYW2	0043014	alpha-tubulin binding
59078	Q9BYW2	0046975	histone methyltransferase activity (H3-K36 specific)
59079	Q9BYW2	0018024	histone-lysine N-methyltransferase activity
59080	Q9BYW2	0046872	metal ion binding
59081	Q9BYW2	0016279	protein-lysine N-methyltransferase activity
59082	Q9BYW2	0001525	angiogenesis
59083	Q9BYW2	0035441	cell migration involved in vasculogenesis
59084	Q9BYW2	0060977	coronary vasculature morphogenesis
59085	Q9BYW2	0051607	defense response to virus
59086	Q9BYW2	0048701	embryonic cranial skeleton morphogenesis
59087	Q9BYW2	0060669	embryonic placenta morphogenesis
59088	Q9BYW2	0035987	endodermal cell differentiation
59089	Q9BYW2	0030900	forebrain development
59090	Q9BYW2	0097676	histone H3-K36 dimethylation
59091	Q9BYW2	0097198	histone H3-K36 trimethylation
59092	Q9BYW2	0048332	mesoderm morphogenesis
59093	Q9BYW2	1902850	microtubule cytoskeleton organization involved in mitosis
59094	Q9BYW2	0006298	mismatch repair
59095	Q9BYW2	0001763	morphogenesis of a branching structure
59096	Q9BYW2	0001843	neural tube closure
59097	Q9BYW2	0034728	nucleosome organization
59098	Q9BYW2	0018026	peptidyl-lysine monomethylation
59099	Q9BYW2	0018023	peptidyl-lysine trimethylation
59100	Q9BYW2	0060039	pericardium development
59101	Q9BYW2	0032727	positive regulation of interferon-alpha production
59102	Q9BYW2	0032465	regulation of cytokinesis
59103	Q9BYW2	0010569	regulation of double-strand break repair via homologous recombination
59104	Q9BYW2	0010793	regulation of mRNA export from nucleus
59105	Q9BYW2	1905634	regulation of protein localization to chromatin
59106	Q9BYW2	0006355	regulation of transcription, DNA-templated
59107	Q9BYW2	0034340	response to type I interferon
59108	Q9BYW2	0048864	stem cell development
59109	Q9BYW2	0048863	stem cell differentiation
59110	Q9BYW2	0006368	transcription elongation from RNA polymerase II promoter
60901	Q9HAU0	0005829	cytosol
60902	Q9HAU0	0098978	glutamatergic synapse
60903	Q9HAU0	0016020	membrane
60904	Q9HAU0	0005654	nucleoplasm
60905	Q9HAU0	0014069	postsynaptic density
60906	Q9HAU0	0080025	phosphatidylinositol-3,5-bisphosphate binding
60907	Q9HAU0	0032266	phosphatidylinositol-3-phosphate binding
60908	Q9HAU0	0070273	phosphatidylinositol-4-phosphate binding
60909	Q9HAU0	0010314	phosphatidylinositol-5-phosphate binding
60910	Q9HAU0	0061458	reproductive system development
64524	Q9HAU4	0005737	cytoplasm
64525	Q9HAU4	0005829	cytosol
64526	Q9HAU4	0045121	membrane raft
64527	Q9HAU4	0016607	nuclear speck
64528	Q9HAU4	0005654	nucleoplasm
64529	Q9HAU4	0005634	nucleus
64530	Q9HAU4	0005886	plasma membrane
64531	Q9HAU4	0000151	ubiquitin ligase complex
64532	Q9HAU4	0042802	identical protein binding
64533	Q9HAU4	0046332	SMAD binding
64534	Q9HAU4	0005160	transforming growth factor beta receptor binding
64535	Q9HAU4	0061630	ubiquitin protein ligase activity
64536	Q9HAU4	0004842	ubiquitin-protein transferase activity
64537	Q9HAU4	0030509	BMP signaling pathway
64538	Q9HAU4	0030514	negative regulation of BMP signaling pathway
64539	Q9HAU4	0000122	negative regulation of transcription by RNA polymerase II
64540	Q9HAU4	0045892	negative regulation of transcription, DNA-templated
64541	Q9HAU4	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
64542	Q9HAU4	0090263	positive regulation of canonical Wnt signaling pathway
64543	Q9HAU4	0045732	positive regulation of protein catabolic process
64544	Q9HAU4	1901165	positive regulation of trophoblast cell migration
64545	Q9HAU4	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
64546	Q9HAU4	0016579	protein deubiquitination
64547	Q9HAU4	0000209	protein polyubiquitination
64548	Q9HAU4	0016567	protein ubiquitination
64549	Q9HAU4	0017015	regulation of transforming growth factor beta receptor signaling pathway
64550	Q9HAU4	0006511	ubiquitin-dependent protein catabolic process
64551	Q9HAU4	0030579	ubiquitin-dependent SMAD protein catabolic process
64552	Q9HAU4	0060071	Wnt signaling pathway, planar cell polarity pathway
72456	Q6ZWJ1	0070062	extracellular exosome
72457	Q6ZWJ1	0045335	phagocytic vesicle
72458	Q6ZWJ1	0019905	syntaxin binding
72459	Q6ZWJ1	0006974	cellular response to DNA damage stimulus
72460	Q6ZWJ1	0071346	cellular response to interferon-gamma
72461	Q6ZWJ1	0008286	insulin receptor signaling pathway
72462	Q6ZWJ1	1902808	positive regulation of cell cycle G1/S phase transition
72463	Q6ZWJ1	0010838	positive regulation of keratinocyte proliferation
72464	Q6ZWJ1	0050821	protein stabilization
72465	Q6ZWJ1	0006605	protein targeting
72466	Q6ZWJ1	0010827	regulation of glucose transmembrane transport
72467	Q6ZWJ1	0061178	regulation of insulin secretion involved in cellular response to glucose stimulus
74268	Q76N89	0005737	cytoplasm
74269	Q76N89	0005829	cytosol
74270	Q76N89	0061630	ubiquitin protein ligase activity
74271	Q76N89	0090090	negative regulation of canonical Wnt signaling pathway
74272	Q76N89	2000650	negative regulation of sodium ion transmembrane transporter activity
74273	Q76N89	0045732	positive regulation of protein catabolic process
74274	Q76N89	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
74275	Q76N89	0000209	protein polyubiquitination
74276	Q76N89	0016567	protein ubiquitination
74277	Q76N89	0048814	regulation of dendrite morphogenesis
74278	Q76N89	0006511	ubiquitin-dependent protein catabolic process
81225	O14776	0005654	nucleoplasm
81226	O14776	0005634	nucleus
81227	O14776	0042802	identical protein binding
81228	O14776	0070064	proline-rich region binding
81229	O14776	0003723	RNA binding
81230	O14776	0001103	RNA polymerase II repressing transcription factor binding
81231	O14776	0003713	transcription coactivator activity
81232	O14776	0003714	transcription corepressor activity
