	entry_ac	do_id	name	descr
3038	Q9HAU0	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
3185	Q9GZV5	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
3714	Q9HCE7	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
3906	Q9BYW2	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
4820	P31947	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
7676	P68431	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
8335	P84243	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
8346	Q9NZC7	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
11342	Q9HAU4	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
11425	O15105	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
11426	Q15797	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
12769	P68431	5419	schizophrenia	A psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
13881	P31947	3298	vaccinia	A viral infectious disease that results_in infection, located_in skin, has_material_basis_in Vaccinia virus, which is used as a live vaccine against smallpox. The virus is transmitted_by contact with the vaccination site before it has healed, or transmitted_by fomites that have been contaminated with live virus from the vaccination site. The infection has_symptom rash, has_symptom fever, and has_symptom body aches.
14282	Q9NZC7	10283	prostate cancer	A male reproductive organ cancer that is located_in the prostate.
14549	Q9BYW2	9256	colorectal cancer	A large intestine cancer that is located_in the colon and/or located_in the rectum.
14561	P31947	9256	colorectal cancer	A large intestine cancer that is located_in the colon and/or located_in the rectum.
14718	O15105	9256	colorectal cancer	A large intestine cancer that is located_in the colon and/or located_in the rectum.
15344	Q9NZC7	3459	breast carcinoma	A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
15935	Q9BYW2	1059	intellectual disability	A specific developmental disorder that involves significant limitations both in mental functioning and in adaptive behavior such as communicating, taking care of him or herself, and social skills.
16312	Q9BYW2	0060041	autism spectrum disorder	A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has_symptom widespread abnormalities of social interactions and communication, has_symptom severely restricted interests and has_symptom highly repetitive behavior.
16829	Q9NZC7	2394	ovarian cancer	A female reproductive organ cancer that is located_in the ovary.
17111	Q9NZC7	305	carcinoma	A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
17436	Q9NZC7	1793	pancreatic cancer	An endocrine gland cancer located_in the pancreas.
17481	Q15797	1793	pancreatic cancer	An endocrine gland cancer located_in the pancreas.
18727	Q9HAU0	1240	leukemia	A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
