	entry_ac	go_id	go_descr
144632	P40818	0005737	cytoplasm
144633	P40818	0005829	cytosol
144634	P40818	0043197	dendritic spine
144635	P40818	0005769	early endosome
144636	P40818	0031313	extrinsic component of endosome membrane
144637	P40818	0019897	extrinsic component of plasma membrane
144638	P40818	0098978	glutamatergic synapse
144639	P40818	0030496	midbody
144640	P40818	0005634	nucleus
144641	P40818	0014069	postsynaptic density
144642	P40818	0045296	cadherin binding
144643	P40818	0004197	cysteine-type endopeptidase activity
144644	P40818	0017124	SH3 domain binding
144645	P40818	0004843	thiol-dependent ubiquitin-specific protease activity
144646	P40818	0071549	cellular response to dexamethasone stimulus
144647	P40818	1990090	cellular response to nerve growth factor stimulus
144648	P40818	0007032	endosome organization
144649	P40818	0000281	mitotic cytokinesis
144650	P40818	0090263	positive regulation of canonical Wnt signaling pathway
144651	P40818	0016579	protein deubiquitination
144652	P40818	0071108	protein K48-linked deubiquitination
144653	P40818	0070536	protein K63-linked deubiquitination
144654	P40818	0007265	Ras protein signal transduction
144655	P40818	0099576	regulation of protein catabolic process at postsynapse, modulating synaptic transmission
144656	P40818	0032880	regulation of protein localization
144657	P40818	0031647	regulation of protein stability
144658	P40818	0006511	ubiquitin-dependent protein catabolic process
