	Unnamed: 0	entry_ac	do_id	name	descr
3906	3906	Q9BYW2	162	cancer	A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.
14549	14549	Q9BYW2	9256	colorectal cancer	A large intestine cancer that is located_in the colon and/or located_in the rectum.
15935	15935	Q9BYW2	1059	intellectual disability	A specific developmental disorder that involves significant limitations both in mental functioning and in adaptive behavior such as communicating, taking care of him or herself, and social skills.
16312	16312	Q9BYW2	0060041	autism spectrum disorder	A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has_symptom widespread abnormalities of social interactions and communication, has_symptom severely restricted interests and has_symptom highly repetitive behavior.
19092	19092	Q9BYW2	1240	leukemia	A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
22555	22555	Q9BYW2	9970	obesity	An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness.
34354	34354	Q9BYW2	12858	Huntington's disease	A neurodegenerative disease that has_material_basis_in autosomal dominant inheritance and is characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia and has_material_basis_in expansion of CAG triplet repeats (glutamine) resulting in neuron degeneration affecting muscle coordination, cognitive abilities.
35998	35998	Q9BYW2	12603	acute leukemia	A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive, undifferentiated cell with abnormal longevity. These lymphocytes (acute lymphocytic leukemia [ALL]) or myeloid cells (acute myelocytic leukemia [AML]) proliferate abnormally, replacing normal marrow tissue and hematopoietic cells and inducing anemia, thrombocytopenia, and granulocytopenia.
42214	42214	Q9BYW2	263	kidney cancer	A urinary system cancer that is located_in the kidney.
42750	42750	Q9BYW2	14748	Sotos syndrome	An autosomal recessive disease that occurs rarely and is characterized by excessive physical growth during the first 2 to 3 years of life.
43044	43044	Q9BYW2	14731	Weaver syndrome	A syndrome that is characterized by prenatal and postnatal overgrowth, accelerated osseous maturation, characteristic craniofacial appearance, and developmental delay and has_material_basis_in heterozygous mutation in the EZH2 gene on chromosome 7q36.
43532	43532	Q9BYW2	4467	clear cell renal cell carcinoma	A renal cell carcinoma that has_material_basis_in cells that appear very pale or clear when examined under microscope.
