	entry_ac	go_id	go_descr
74268	Q76N89	0005737	cytoplasm
74269	Q76N89	0005829	cytosol
74270	Q76N89	0061630	ubiquitin protein ligase activity
74271	Q76N89	0090090	negative regulation of canonical Wnt signaling pathway
74272	Q76N89	2000650	negative regulation of sodium ion transmembrane transporter activity
74273	Q76N89	0045732	positive regulation of protein catabolic process
74274	Q76N89	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
74275	Q76N89	0000209	protein polyubiquitination
74276	Q76N89	0016567	protein ubiquitination
74277	Q76N89	0048814	regulation of dendrite morphogenesis
74278	Q76N89	0006511	ubiquitin-dependent protein catabolic process
102822	Q9P2P5	0005737	cytoplasm
102823	Q9P2P5	0072686	mitotic spindle
102824	Q9P2P5	0061630	ubiquitin protein ligase activity
102825	Q9P2P5	2000650	negative regulation of sodium ion transmembrane transporter activity
102826	Q9P2P5	0045732	positive regulation of protein catabolic process
102827	Q9P2P5	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
102828	Q9P2P5	0000209	protein polyubiquitination
102829	Q9P2P5	0016567	protein ubiquitination
102830	Q9P2P5	0048814	regulation of dendrite morphogenesis
102831	Q9P2P5	0030071	regulation of mitotic metaphase/anaphase transition
102832	Q9P2P5	0006511	ubiquitin-dependent protein catabolic process
